"champ";"statut";"annee";"periode";"date du resultat";"ipe";exotm;natass;tremb;taux;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/18 15:15:33";="020000022";0 : Pas d'exonération;10 : Maladie;80;80%;207;35.084745763;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:33";="020000022";3 : Soins particuliers exonérés;10 : Maladie;100;100%;5;0.8474576271;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:33";="020000022";4 : Soins conformes au protocole ALD;10 : Maladie;100;100%;312;52.881355932;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:33";="020000022";4 : Soins conformes au protocole ALD;13 : Maladie Régime Local Alsace-Moselle;100;100%;1;0.1694915254;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:33";="020000022";5 : Assuré ou bénéficiaire exonéré (régime exonérant);10 : Maladie;100;100%;64;10.847457627;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:33";="020000022";Séjours en attente de taux de prise en charge;Séjours en attente de taux de prise en charge;80;0;1;0.1694915254;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:22";="590782439";0 : Pas d'exonération;10 : Maladie;80;80%;267;27.412731006;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:22";="590782439";0 : Pas d'exonération;41 : Accident du;100;100%;1;0.1026694045;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:22";="590782439";1 : Soins en rapport avec K>60 ou montant>120¤;10 : Maladie;100;100%;48;4.9281314168;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:22";="590782439";2 : Soins relatifs à un séjour > 30 jours;10 : Maladie;80;100%;1;0.1026694045;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:22";="590782439";3 : Soins particuliers exonérés;10 : Maladie;100;100%;9;0.9240246407;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:22";="590782439";4 : Soins conformes au protocole ALD;10 : Maladie;100;100%;573;58.829568789;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:22";="590782439";5 : Assuré ou bénéficiaire exonéré (régime exonérant);10 : Maladie;100;100%;74;7.5975359343;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:22";="590782439";9 : FSV ou FSI;10 : Maladie;90;80%;1;0.1026694045;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:18";="590049565";4 : Soins conformes au protocole ALD;10 : Maladie;100;100%;156;98.734177215;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:18";="590049565";6 : Réservé SESAM-VITALE pour les régimes spéciaux SNCF;10 : Maladie;100;100%;2;1.2658227848;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";0 : Pas d'exonération;10 : Maladie;80;80%;4844;31.245565374;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";0 : Pas d'exonération;10 : Maladie;80;90%;2;0.0129007289;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";0 : Pas d'exonération;13 : Maladie Régime Local Alsace-Moselle;80;80%;1;0.0064503644;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";0 : Pas d'exonération;13 : Maladie Régime Local Alsace-Moselle;80;100%;3;0.0193510933;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";0 : Pas d'exonération;30 : Maternité;100;100%;389;2.5091917693;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";0 : Pas d'exonération;41 : Accident du;100;100%;23;0.1483583822;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";1 : Soins en rapport avec K>60 ou montant>120¤;10 : Maladie;100;100%;1991;12.842675611;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";3 : Soins particuliers exonérés;10 : Maladie;100;100%;285;1.838353867;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";3 : Soins particuliers exonérés;13 : Maladie Régime Local Alsace-Moselle;100;100%;1;0.0064503644;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";4 : Soins conformes au protocole ALD;10 : Maladie;100;100%;6459;41.662903954;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";5 : Assuré ou bénéficiaire exonéré (régime exonérant);10 : Maladie;100;100%;1055;6.8051344901;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";9 : FSV ou FSI;10 : Maladie;90;80%;3;0.0193510933;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";Nouveaux-nés, radiothérapie ou prélèvement d'organes;Nouveaux-nés, radiothérapie ou prélèvement d'organes;100;0;353;2.2769786493;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";Nouveaux-nés, radiothérapie ou prélèvement d'organes;Nouveaux-nés, radiothérapie ou prélèvement d'organes;100;80%;3;0.0193510933;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";Nouveaux-nés, radiothérapie ou prélèvement d'organes;Nouveaux-nés, radiothérapie ou prélèvement d'organes;100;100%;91;0.5869831645;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:38:22";="620003376";0 : Pas d'exonération;10 : Maladie;80;80%;2381;18.396044194;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:22";="620003376";0 : Pas d'exonération;10 : Maladie;80;90%;2;0.0154523681;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:22";="620003376";0 : Pas d'exonération;13 : Maladie Régime Local Alsace-Moselle;80;80%;2;0.0154523681;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:22";="620003376";0 : Pas d'exonération;41 : Accident du;100;100%;73;0.5640114348;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:22";="620003376";1 : Soins en rapport avec K>60 ou montant>120¤;10 : Maladie;100;100%;324;2.5032836282;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:22";="620003376";2 : Soins relatifs à un séjour > 30 jours;10 : Maladie;80;80%;2;0.0154523681;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:22";="620003376";2 : Soins relatifs à un séjour > 30 jours;10 : Maladie;80;100%;1;0.007726184;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:22";="620003376";3 : Soins particuliers exonérés;10 : Maladie;100;100%;1;0.007726184;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:22";="620003376";4 : Soins conformes au protocole ALD;10 : Maladie;100;100%;2551;19.70949548;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:22";="620003376";4 : Soins conformes au protocole ALD;13 : Maladie Régime Local Alsace-Moselle;100;100%;10;0.0772618404;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:22";="620003376";5 : Assuré ou bénéficiaire exonéré (régime exonérant);10 : Maladie;100;100%;1688;13.041798656;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:22";="620003376";5 : Assuré ou bénéficiaire exonéré (régime exonérant);13 : Maladie Régime Local Alsace-Moselle;100;100%;1;0.007726184;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:22";="620003376";C : Soins exonérés en codage CCAM du fait de la nature de l'acte, ou du dépassement du seuil;10 : Maladie;100;100%;5901;45.592212006;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:22";="620003376";C : Soins exonérés en codage CCAM du fait de la nature de l'acte, ou du dépassement du seuil;13 : Maladie Régime Local Alsace-Moselle;100;100%;6;0.0463571042;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";0 : Pas d'exonération;10 : Maladie;80;80%;3461;20.781794164;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";0 : Pas d'exonération;10 : Maladie;80;90%;5;0.0300228173;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";0 : Pas d'exonération;10 : Maladie;80;100%;20;0.1200912694;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";0 : Pas d'exonération;13 : Maladie Régime Local Alsace-Moselle;80;80%;4;0.0240182539;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";0 : Pas d'exonération;30 : Maternité;100;100%;1332;7.9980785397;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";0 : Pas d'exonération;41 : Accident du;100;100%;26;0.1561186502;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";1 : Soins en rapport avec K>60 ou montant>120¤;10 : Maladie;100;80%;8;0.0480365077;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";1 : Soins en rapport avec K>60 ou montant>120¤;10 : Maladie;100;100%;1341;8.0521196109;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";1 : Soins en rapport avec K>60 ou montant>120¤;13 : Maladie Régime Local Alsace-Moselle;100;100%;2;0.0120091269;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";2 : Soins relatifs à un séjour > 30 jours;10 : Maladie;80;80%;10;0.0600456347;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";2 : Soins relatifs à un séjour > 30 jours;10 : Maladie;80;100%;1;0.0060045635;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";2 : Soins relatifs à un séjour > 30 jours;10 : Maladie;100;80%;3;0.0180136904;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";2 : Soins relatifs à un séjour > 30 jours;10 : Maladie;100;100%;1;0.0060045635;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";3 : Soins particuliers exonérés;10 : Maladie;100;100%;392;2.3537888795;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";3 : Soins particuliers exonérés;41 : Accident du;100;100%;9;0.0540410712;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";4 : Soins conformes au protocole ALD;10 : Maladie;100;80%;2;0.0120091269;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";4 : Soins conformes au protocole ALD;10 : Maladie;100;100%;6601;39.636123454;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";4 : Soins conformes au protocole ALD;13 : Maladie Régime Local Alsace-Moselle;100;100%;9;0.0540410712;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";4 : Soins conformes au protocole ALD;41 : Accident du;100;100%;1;0.0060045635;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";5 : Assuré ou bénéficiaire exonéré (régime exonérant);10 : Maladie;100;80%;2;0.0120091269;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";5 : Assuré ou bénéficiaire exonéré (régime exonérant);10 : Maladie;100;100%;680;4.0831031584;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";9 : FSV ou FSI;10 : Maladie;90;80%;14;0.0840638886;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";X: séjours non facturables, en attente de droits ou pb de codage;10 : Maladie;;80%;851;5.1098835115;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";X: séjours non facturables, en attente de droits ou pb de codage;10 : Maladie;;100%;447;2.6840398703;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";X: séjours non facturables, en attente de droits ou pb de codage;30 : Maternité;;100%;214;1.2849765822;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";X: séjours non facturables, en attente de droits ou pb de codage;41 : Accident du;;100%;2;0.0120091269;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";Nouveaux-nés, radiothérapie ou prélèvement d'organes;Nouveaux-nés, radiothérapie ou prélèvement d'organes;100;Non renseigné;14;0.0840638886;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";Nouveaux-nés, radiothérapie ou prélèvement d'organes;Nouveaux-nés, radiothérapie ou prélèvement d'organes;100;0;2;0.0120091269;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";Nouveaux-nés, radiothérapie ou prélèvement d'organes;Nouveaux-nés, radiothérapie ou prélèvement d'organes;100;80%;1;0.0060045635;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";Nouveaux-nés, radiothérapie ou prélèvement d'organes;Nouveaux-nés, radiothérapie ou prélèvement d'organes;100;100%;1196;7.181457908;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:50";="620101337";Séjours en attente de taux de prise en charge;Séjours en attente de taux de prise en charge;80;0;3;0.0180136904;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:47:25";="800000077";0 : Pas d'exonération;10 : Maladie;80;80%;265;39.201183432;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:25";="800000077";1 : Soins en rapport avec K>60 ou montant>120¤;10 : Maladie;100;100%;1;0.1479289941;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:25";="800000077";2 : Soins relatifs à un séjour > 30 jours;10 : Maladie;80;100%;1;0.1479289941;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:25";="800000077";4 : Soins conformes au protocole ALD;10 : Maladie;100;100%;320;47.337278107;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:25";="800000077";5 : Assuré ou bénéficiaire exonéré (régime exonérant);10 : Maladie;100;100%;47;6.9526627219;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:25";="800000077";6 : Réservé SESAM-VITALE pour les régimes spéciaux SNCF;10 : Maladie;100;100%;29;4.2899408284;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:25";="800000077";9 : FSV ou FSI;10 : Maladie;90;100%;1;0.1479289941;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:25";="800000077";Séjours en attente de taux de prise en charge;Séjours en attente de taux de prise en charge;80;80%;12;1.775147929;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:32";="590782645";0 : Pas d'exonération;10 : Maladie;80;80%;54;15.743440233;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:32";="590782645";3 : Soins particuliers exonérés;10 : Maladie;100;100%;4;1.166180758;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:32";="590782645";4 : Soins conformes au protocole ALD;10 : Maladie;100;100%;238;69.387755102;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:32";="590782645";5 : Assuré ou bénéficiaire exonéré (régime exonérant);10 : Maladie;100;100%;41;11.95335277;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:32";="590782645";Séjours en attente de taux de prise en charge;Séjours en attente de taux de prise en charge;80;80%;2;0.583090379;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:32";="590782645";Séjours en attente de taux de prise en charge;Séjours en attente de taux de prise en charge;80;100%;4;1.166180758;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:51";="600100572";0 : Pas d'exonération;10 : Maladie;80;80%;30;11.71875;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:51";="600100572";4 : Soins conformes au protocole ALD;10 : Maladie;100;100%;195;76.171875;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:51";="600100572";5 : Assuré ou bénéficiaire exonéré (régime exonérant);10 : Maladie;100;100%;20;7.8125;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:51";="600100572";6 : Réservé SESAM-VITALE pour les régimes spéciaux SNCF;10 : Maladie;100;100%;1;0.390625;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:51";="600100572";Séjours en attente de taux de prise en charge;Séjours en attente de taux de prise en charge;80;80%;10;3.90625;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:45:02";="020004495";0 : Pas d'exonération;10 : Maladie;80;80%;1033;50.81160846;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:02";="020004495";0 : Pas d'exonération;13 : Maladie Régime Local Alsace-Moselle;80;80%;1;0.0491883915;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:02";="020004495";0 : Pas d'exonération;30 : Maternité;100;100%;4;0.1967535662;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:02";="020004495";0 : Pas d'exonération;41 : Accident du;100;100%;15;0.7378258731;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:02";="020004495";1 : Soins en rapport avec K>60 ou montant>120¤;10 : Maladie;100;100%;3;0.1475651746;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:02";="020004495";3 : Soins particuliers exonérés;10 : Maladie;100;100%;15;0.7378258731;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:02";="020004495";4 : Soins conformes au protocole ALD;10 : Maladie;100;100%;703;34.579439252;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:02";="020004495";4 : Soins conformes au protocole ALD;13 : Maladie Régime Local Alsace-Moselle;100;100%;3;0.1475651746;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:02";="020004495";5 : Assuré ou bénéficiaire exonéré (régime exonérant);10 : Maladie;100;100%;238;11.706837186;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:02";="020004495";9 : FSV ou FSI;10 : Maladie;90;80%;1;0.0491883915;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:02";="020004495";Séjours en attente de taux de prise en charge;Séjours en attente de taux de prise en charge;80;80%;12;0.5902606985;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:02";="020004495";Séjours en attente de taux de prise en charge;Séjours en attente de taux de prise en charge;80;100%;5;0.2459419577;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:59";="020000055";0 : Pas d'exonération;10 : Maladie;80;80%;45;17.374517375;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:59";="020000055";1 : Soins en rapport avec K>60 ou montant>120¤;10 : Maladie;100;100%;3;1.1583011583;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:59";="020000055";2 : Soins relatifs à un séjour > 30 jours;10 : Maladie;80;100%;1;0.3861003861;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:59";="020000055";3 : Soins particuliers exonérés;10 : Maladie;100;100%;1;0.3861003861;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:59";="020000055";4 : Soins conformes au protocole ALD;10 : Maladie;100;100%;166;64.092664093;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:59";="020000055";5 : Assuré ou bénéficiaire exonéré (régime exonérant);10 : Maladie;100;100%;43;16.602316602;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:29:31";="590782652";0 : Pas d'exonération;10 : Maladie;80;80%;1966;23.20311578;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:31";="590782652";0 : Pas d'exonération;30 : Maternité;100;100%;476;5.6178449192;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:31";="590782652";0 : Pas d'exonération;41 : Accident du;100;100%;27;0.3186592706;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:31";="590782652";1 : Soins en rapport avec K>60 ou montant>120¤;10 : Maladie;100;100%;1959;23.120500413;2023.7;X590782652;29AUG23;9:28:13
