"champ";"statut";"annee";"periode";"date du resultat";"ipe";parc_UM;ponder;ponder_cn;dms;age_moy;age_med;pct_homme;nb_um_rea;nb_um_si;nb_um_sc;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:38:42";="020000253";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-01A Réanimation adulte hors grands brûlés-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;2;2;23.5;52;52;50;11;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:42";="020000253";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-27 Médecine gériatrique;1;1;18;94;94;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:55";="620003376";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;25;25;4.08;77.84;85;52;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:55";="620003376";07A UHCD strutures des urgences générales-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;10;10;7.7;76.9;79.5;70;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:55";="620003376";53 Autre chirurgie adulte (ou chirurgie indifférenciée adulte);8;8;8.875;71.625;73;25;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:55";="620003376";07A UHCD strutures des urgences générales;7;7;0;69.285714286;72;42.857142857;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:55";="620003376";07A UHCD strutures des urgences générales-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;3;3;7;74;72;66.666666667;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:55";="620003376";07A UHCD strutures des urgences générales-53 Autre chirurgie adulte (ou chirurgie indifférenciée adulte);3;3;4;82.333333333;78;0;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:55";="620003376";53 Autre chirurgie adulte (ou chirurgie indifférenciée adulte)-02B Autres soins intensifs (hors UNV, USIC, néonatologie)-53 Autre chirurgie adulte (ou chirurgie indifférenciée adulte);2;2;33;71;71;0;0;7;5;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:55";="620003376";53 Autre chirurgie adulte (ou chirurgie indifférenciée adulte)-53 Autre chirurgie adulte (ou chirurgie indifférenciée adulte);2;2;36.5;82;82;0;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:55";="620003376";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;2;2;2;72.5;72.5;0;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:55";="620003376";07A UHCD strutures des urgences générales-03A Soins surveillance continue adulte hors grands brûlés;1;1;1;66;66;100;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:59";="620101337";07A UHCD strutures des urgences générales-27 Médecine gériatrique;44;44;14.227272727;86.818181818;88;45.454545455;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:59";="620101337";07A UHCD strutures des urgences générales-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;23;23;13.260869565;69.913043478;73;60.869565217;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:59";="620101337";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;22;22;11.818181818;73.272727273;75.5;68.181818182;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:59";="620101337";07A UHCD strutures des urgences générales;20;20;1.05;70.85;72.5;65;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:59";="620101337";27 Médecine gériatrique;18;18;15;88.333333333;88;27.777777778;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:59";="620101337";53 Autre chirurgie adulte (ou chirurgie indifférenciée adulte);15;15;6.4;59.066666667;66;40;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:59";="620101337";28 Médecine pédiatrique (hors unité d'oncologie médicale, spécialisée ou non);12;12;1.9166666667;2.3381278539;0.2068493151;58.333333333;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:59";="620101337";14A Soins surveillance continue pédiatrique hors grands brûlés;4;4;2.25;1.2404109589;0.4205479452;75;0;0;9;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:59";="620101337";07A UHCD strutures des urgences générales-17 UNV hors SI;4;4;19.25;70.75;75.5;50;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:59";="620101337";02B Autres soins intensifs (hors UNV, USIC, néonatologie)-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;4;4;17.75;69.75;67.5;75;0;20;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:59";="800000077";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;13;13;11.538461538;82.538461538;82;53.846153846;0;0;0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:59";="800000077";19 Unité d'addictologie de recours et de référence;2;2;8.5;46.5;46.5;100;0;0;0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:09";="590782645";27 Médecine gériatrique;36;36;17.75;84.666666667;85.5;47.222222222;0;0;0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:32";="600100572";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;13;13;11.538461538;84.846153846;89;30.769230769;0;0;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:39";="020004495";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;15;15;2.5333333333;66.092968037;78;60;0;0;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:39";="020004495";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;13;13;9;77.230769231;73;30.769230769;0;0;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:39";="020004495";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;8;8;23.125;68.5;67.5;50;0;0;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:39";="020004495";27 Médecine gériatrique-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-27 Médecine gériatrique;5;5;38.6;85.6;85;20;0;0;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:39";="020004495";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-27 Médecine gériatrique;5;5;14;85.2;85;20;0;0;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:39";="020004495";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-27 Médecine gériatrique;4;4;20;91.5;91;0;0;0;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:39";="020004495";27 Médecine gériatrique-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;3;3;22.666666667;86;86;66.666666667;0;0;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:39";="020004495";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-27 Médecine gériatrique-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-27 Médecine gériatrique;3;3;26.333333333;80;78;66.666666667;0;0;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:39";="020004495";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;3;3;85.666666667;71.333333333;72;0;0;0;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:39";="020000055";27 Médecine gériatrique;13;13;12.076923077;87.923076923;87;46.153846154;0;0;0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:41";="590782652";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;63;63;9.1587301587;80.26984127;84;47.619047619;0;0;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:41";="590782652";07A UHCD strutures des urgences générales;35;35;0.3714285714;71.542857143;73;40;0;0;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:41";="590782652";19 Unité d'addictologie de recours et de référence;5;5;2.8;37;32;100;0;0;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:41";="590782652";53 Autre chirurgie adulte (ou chirurgie indifférenciée adulte);5;5;5;71;76;60;0;0;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:41";="590782652";71 Obstétrique seule;1;1;1;32;32;0;0;0;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:53";="590780052";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;25;25;17.92;86.96;87;24;0;0;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:53";="590780052";19 Unité d'addictologie de recours et de référence;6;6;13.333333333;44.5;42;100;0;0;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:45";="600100648";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;21;21;13.380952381;87;86;33.333333333;0;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:45";="600100648";07A UHCD strutures des urgences générales-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;16;16;7;75.875;74;50;0;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:45";="600100648";07A UHCD strutures des urgences générales;8;8;0.875;79;79.5;50;0;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:45";="600100648";53 Autre chirurgie adulte (ou chirurgie indifférenciée adulte);3;3;2.6666666667;61.333333333;54;33.333333333;0;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:45";="600100648";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;2;2;29.5;75;75;50;0;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:45";="600100648";19 Unité d'addictologie de recours et de référence;1;1;21;31;31;0;0;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:30";="620000026";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;7;7;18;77.571428571;79;14.285714286;0;0;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:30";="620000026";01A Réanimation adulte hors grands brûlés;1;1;3;71;71;0;3;0;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:30";="620000026";53 Autre chirurgie adulte (ou chirurgie indifférenciée adulte);1;1;4;69;69;100;0;0;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:21:26";="620003350";27 Médecine gériatrique;83;83;11.048192771;88;88;28.915662651;0;0;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:26";="620003350";03A Soins surveillance continue adulte hors grands brûlés;17;17;1.5294117647;76.117647059;75;11.764705882;0;0;26;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:26";="620003350";03A Soins surveillance continue adulte hors grands brûlés-27 Médecine gériatrique;17;17;12.352941176;85.764705882;86;41.176470588;0;0;30;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:26";="620003350";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-27 Médecine gériatrique;16;16;14;86.8125;88.5;12.5;0;0;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:26";="620003350";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;16;16;12.75;76.5;74.5;43.75;0;0;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:26";="620003350";07A UHCD strutures des urgences générales;3;3;0;46.666666667;44;66.666666667;0;0;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:26";="620003350";03A Soins surveillance continue adulte hors grands brûlés-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;3;3;6.3333333333;68;68;33.333333333;0;0;3;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:26";="620003350";03A Soins surveillance continue adulte hors grands brûlés-27 Médecine gériatrique-03A Soins surveillance continue adulte hors grands brûlés;2;2;4;85;85;0;0;0;5;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:26";="620003350";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-27 Médecine gériatrique-27 Médecine gériatrique;1;1;30;77;77;0;0;0;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:26";="620003350";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-03A Soins surveillance continue adulte hors grands brûlés-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;1;1;15;86;86;100;0;0;2;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:26";="590000600";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;16;16;13.125;79.3125;81.5;50;0;0;0;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:26";="590000600";27 Médecine gériatrique;14;14;18.142857143;86.714285714;87;14.285714286;0;0;0;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;52;52;5.2307692308;73.153846154;75;44.230769231;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";07A UHCD strutures des urgences générales-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;29;29;8.4482758621;77.344827586;80;55.172413793;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";07A UHCD strutures des urgences générales-27 Médecine gériatrique;25;25;16.32;88.68;88;32;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";53 Autre chirurgie adulte (ou chirurgie indifférenciée adulte);14;14;8.7142857143;67.357142857;68;35.714285714;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";27 Médecine gériatrique;13;13;12.076923077;85.846153846;86;30.769230769;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";07A UHCD strutures des urgences générales;5;5;0.4;71.8;71;20;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";07A UHCD strutures des urgences générales-53 Autre chirurgie adulte (ou chirurgie indifférenciée adulte);4;4;4.25;69;73;50;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";73 Gynécologie obstétrique indifférenciée;4;4;3;26.75;26;0;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-27 Médecine gériatrique;3;3;24;74.333333333;76;66.666666667;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";07A UHCD strutures des urgences générales-02B Autres soins intensifs (hors UNV, USIC, néonatologie)-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;2;2;18;75;75;0;0;12;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:34";="590001749";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;21;21;12.666666667;79.380952381;85;42.857142857;0;0;0;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:34";="590001749";27 Médecine gériatrique;12;12;13.083333333;86.333333333;87.5;50;0;0;0;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:34";="590001749";07A UHCD strutures des urgences générales;4;4;0;73.25;84;100;0;0;0;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:34";="590001749";08 Soins et accompagnement des malades en phase terminale (unité de soins palliatifs);3;3;18.333333333;74.666666667;71;0;0;0;0;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:44";="590781670";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;51;51;12.039215686;78.490196078;83;56.862745098;0;0;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:44";="590781670";27 Médecine gériatrique;14;14;12;86.642857143;87;28.571428571;0;0;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:44";="590781670";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-27 Médecine gériatrique;1;1;21;88;88;0;0;0;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;94;94;13.510638298;80.159574468;83;47.872340426;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";07A UHCD strutures des urgences générales-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;13;13;13.461538462;75.230769231;80;38.461538462;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;13;13;15.538461538;80;80;23.076923077;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";28 Médecine pédiatrique (hors unité d'oncologie médicale, spécialisée ou non);10;10;2.4;1.4350684932;0.2561643836;50;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";53 Autre chirurgie adulte (ou chirurgie indifférenciée adulte);8;8;14.25;76.25;76.5;25;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";07A UHCD strutures des urgences générales;7;7;0.7142857143;66;68;57.142857143;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";18 Soins intensifs en UNV-17 UNV hors SI;4;4;21.25;77.25;76;50;0;11;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";08 Soins et accompagnement des malades en phase terminale (unité de soins palliatifs);3;3;6.3333333333;90.333333333;91;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";03A Soins surveillance continue adulte hors grands brûlés-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;3;3;20;58;53;33.333333333;0;0;20;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";40 Unité d'hospitalisation d'oncologie médicale;3;3;4.6666666667;71;71;100;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;88;88;4.8068181818;72.329545455;76;45.454545455;0;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée;82;82;12.573170732;76.743902439;80;34.146341463;0;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-53 Autre chirurgie adulte (ou chirurgie indifférenciée adulte);35;35;12;69.742857143;78;28.571428571;0;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";29 Autres spécialités médicales adultes (non classées ailleurs) ou unité de médecine indifférenciée-28 Médecine pédiatrique (hors unité d'oncologie médicale, spécialisée ou non);22;22;1.2272727273;1.5196762142;0.5164383562;54.545454545;0;0;0;2023.7;X620100651;29AUG23;16:13:10
