"champ";"statut";"annee";"periode";"date du resultat";"ipe";exotm;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/22 19:09:50";="590782439";5 : Assuré ou bénéficiaire exonéré (régime exonérant);74;7.4222668004;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:50";="590782439";9 : FSV ou FSI;1;0.1003009027;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:50";="590782439";X: séjours non facturables, en attente de droits ou pb de codage;23;2.3069207623;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:54:48";="590049565";4 : Soins conformes au protocole ALD;156;98.734177215;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:48";="590049565";6 : Réservé SESAM-VITALE pour les régimes spéciaux SNCF;2;1.2658227848;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:13";="020000253";0 : Pas d'exonération;5263;33.156933157;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:13";="020000253";1 : Soins en rapport avec K>60 ou montant>120¤;1991;12.543312543;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:13";="020000253";3 : Soins particuliers exonérés;489;3.0807030807;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:13";="020000253";4 : Soins conformes au protocole ALD;6459;40.691740692;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:13";="020000253";5 : Assuré ou bénéficiaire exonéré (régime exonérant);1087;6.8481068481;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:13";="020000253";9 : FSV ou FSI;3;0.0189000189;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:13";="020000253";X: séjours non facturables, en attente de droits ou pb de codage;131;0.8253008253;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:13";="020000253";Nouveaux-nés, radiothérapie ou prélèvement d'organes;450;2.835002835;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:33";="620003376";0 : Pas d'exonération;2521;19.254563507;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:33";="620003376";1 : Soins en rapport avec K>60 ou montant>120¤;326;2.4898800886;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:33";="620003376";2 : Soins relatifs à un séjour > 30 jours;3;0.022913007;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:33";="620003376";3 : Soins particuliers exonérés;1;0.007637669;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:33";="620003376";4 : Soins conformes au protocole ALD;2566;19.598258611;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:33";="620003376";5 : Assuré ou bénéficiaire exonéré (régime exonérant);1706;13.029863286;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:33";="620003376";C : Soins exonérés en codage CCAM du fait de la nature de l'acte, ou du dépassement du seuil;5908;45.123348354;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:33";="620003376";X: séjours non facturables, en attente de droits ou pb de codage;62;0.473535477;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";0 : Pas d'exonération;5092;29.360548925;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";1 : Soins en rapport avec K>60 ou montant>120¤;1360;7.8417805455;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";2 : Soins relatifs à un séjour > 30 jours;15;0.0864902266;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";3 : Soins particuliers exonérés;401;2.3121720579;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";4 : Soins conformes au protocole ALD;6629;38.222914144;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";5 : Assuré ou bénéficiaire exonéré (régime exonérant);692;3.990082454;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";9 : FSV ou FSI;14;0.0807242115;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";X: séjours non facturables, en attente de droits ou pb de codage;1912;11.024620885;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";Nouveaux-nés, radiothérapie ou prélèvement d'organes;1225;7.063368506;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";Séjours en attente de taux de prise en charge;3;0.0172980453;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:39";="800000077";0 : Pas d'exonération;266;39.06020558;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:39";="800000077";1 : Soins en rapport avec K>60 ou montant>120¤;1;0.1468428781;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:39";="800000077";2 : Soins relatifs à un séjour > 30 jours;1;0.1468428781;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:39";="800000077";4 : Soins conformes au protocole ALD;321;47.136563877;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:39";="800000077";5 : Assuré ou bénéficiaire exonéré (régime exonérant);50;7.342143906;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:39";="800000077";6 : Réservé SESAM-VITALE pour les régimes spéciaux SNCF;29;4.2584434655;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:39";="800000077";9 : FSV ou FSI;1;0.1468428781;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:39";="800000077";Séjours en attente de taux de prise en charge;12;1.7621145374;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";0 : Pas d'exonération;54;15.697674419;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";3 : Soins particuliers exonérés;4;1.1627906977;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";4 : Soins conformes au protocole ALD;238;69.186046512;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";5 : Assuré ou bénéficiaire exonéré (régime exonérant);41;11.918604651;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";X: séjours non facturables, en attente de droits ou pb de codage;1;0.2906976744;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";Séjours en attente de taux de prise en charge;6;1.7441860465;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:18";="600100572";0 : Pas d'exonération;30;11.71875;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:18";="600100572";4 : Soins conformes au protocole ALD;195;76.171875;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:18";="600100572";5 : Assuré ou bénéficiaire exonéré (régime exonérant);20;7.8125;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:18";="600100572";6 : Réservé SESAM-VITALE pour les régimes spéciaux SNCF;1;0.390625;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:18";="600100572";Séjours en attente de taux de prise en charge;10;3.90625;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:24";="020004495";0 : Pas d'exonération;1054;49.576669802;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:24";="020004495";1 : Soins en rapport avec K>60 ou montant>120¤;3;0.1411100659;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:24";="020004495";3 : Soins particuliers exonérés;16;0.7525870179;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:24";="020004495";4 : Soins conformes au protocole ALD;708;33.301975541;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:24";="020004495";5 : Assuré ou bénéficiaire exonéré (régime exonérant);239;11.241768579;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:24";="020004495";9 : FSV ou FSI;1;0.0470366886;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:24";="020004495";X: séjours non facturables, en attente de droits ou pb de codage;88;4.1392285983;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:24";="020004495";Séjours en attente de taux de prise en charge;17;0.7996237065;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:20";="020000055";0 : Pas d'exonération;45;17.175572519;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:20";="020000055";1 : Soins en rapport avec K>60 ou montant>120¤;3;1.1450381679;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:20";="020000055";2 : Soins relatifs à un séjour > 30 jours;1;0.3816793893;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:20";="020000055";3 : Soins particuliers exonérés;1;0.3816793893;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:20";="020000055";4 : Soins conformes au protocole ALD;166;63.358778626;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:20";="020000055";5 : Assuré ou bénéficiaire exonéré (régime exonérant);43;16.41221374;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:20";="020000055";X: séjours non facturables, en attente de droits ou pb de codage;3;1.1450381679;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:25";="590782652";0 : Pas d'exonération;2469;28.746070555;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:25";="590782652";1 : Soins en rapport avec K>60 ou montant>120¤;1959;22.808243102;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:25";="590782652";3 : Soins particuliers exonérés;237;2.7593433461;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:25";="590782652";4 : Soins conformes au protocole ALD;2590;30.154849226;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:25";="590782652";5 : Assuré ou bénéficiaire exonéré (régime exonérant);677;7.8821748748;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:25";="590782652";9 : FSV ou FSI;2;0.0232855979;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:25";="590782652";X: séjours non facturables, en attente de droits ou pb de codage;114;1.3272790779;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:25";="590782652";Nouveaux-nés, radiothérapie ou prélèvement d'organes;487;5.6700430784;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:25";="590782652";Séjours en attente de taux de prise en charge;54;0.6287111422;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:39";="590780052";0 : Pas d'exonération;614;47.26712856;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:39";="590780052";4 : Soins conformes au protocole ALD;476;36.643571978;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:39";="590780052";5 : Assuré ou bénéficiaire exonéré (régime exonérant);129;9.9307159353;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:39";="590780052";6 : Réservé SESAM-VITALE pour les régimes spéciaux SNCF;68;5.2347959969;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:39";="590780052";9 : FSV ou FSI;1;0.0769822941;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:39";="590780052";Séjours en attente de taux de prise en charge;11;0.8468052348;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:26";="600100648";0 : Pas d'exonération;1237;35.886277923;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:26";="600100648";1 : Soins en rapport avec K>60 ou montant>120¤;585;16.971279373;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:26";="600100648";3 : Soins particuliers exonérés;151;4.3806208297;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:26";="600100648";4 : Soins conformes au protocole ALD;1089;31.592689295;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:26";="600100648";5 : Assuré ou bénéficiaire exonéré (régime exonérant);347;10.066724688;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:26";="600100648";X: séjours non facturables, en attente de droits ou pb de codage;21;0.6092254134;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:26";="600100648";Séjours en attente de taux de prise en charge;17;0.4931824775;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";0 : Pas d'exonération;2603;36.446373565;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";1 : Soins en rapport avec K>60 ou montant>120¤;2355;32.973956875;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";3 : Soins particuliers exonérés;22;0.3080369644;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";4 : Soins conformes au protocole ALD;871;12.195463456;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";5 : Assuré ou bénéficiaire exonéré (régime exonérant);794;11.11733408;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";9 : FSV ou FSI;5;0.070008401;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";X: séjours non facturables, en attente de droits ou pb de codage;91;1.2741528983;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";Nouveaux-nés, radiothérapie ou prélèvement d'organes;6;0.0840100812;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";Séjours en attente de taux de prise en charge;395;5.5306636796;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:21:09";="620003350";0 : Pas d'exonération;1137;32.880277617;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:09";="620003350";1 : Soins en rapport avec K>60 ou montant>120¤;9;0.2602660497;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:09";="620003350";2 : Soins relatifs à un séjour > 30 jours;13;0.3759398496;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:09";="620003350";4 : Soins conformes au protocole ALD;1314;37.998843262;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:09";="620003350";5 : Assuré ou bénéficiaire exonéré (régime exonérant);966;27.935222672;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:09";="620003350";C : Soins exonérés en codage CCAM du fait de la nature de l'acte, ou du dépassement du seuil;2;0.0578368999;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:09";="620003350";X: séjours non facturables, en attente de droits ou pb de codage;17;0.4916136495;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:12";="590000600";0 : Pas d'exonération;310;31.893004115;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:12";="590000600";2 : Soins relatifs à un séjour > 30 jours;2;0.2057613169;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:12";="590000600";3 : Soins particuliers exonérés;30;3.0864197531;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:12";="590000600";4 : Soins conformes au protocole ALD;477;49.074074074;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:12";="590000600";5 : Assuré ou bénéficiaire exonéré (régime exonérant);93;9.5679012346;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:12";="590000600";6 : Réservé SESAM-VITALE pour les régimes spéciaux SNCF;48;4.9382716049;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:12";="590000600";9 : FSV ou FSI;1;0.1028806584;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:12";="590000600";X: séjours non facturables, en attente de droits ou pb de codage;3;0.3086419753;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:12";="590000600";Séjours en attente de taux de prise en charge;8;0.8230452675;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";0 : Pas d'exonération;2771;29.419258945;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";2 : Soins relatifs à un séjour > 30 jours;4;0.0424673532;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";3 : Soins particuliers exonérés;6;0.0637010298;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";4 : Soins conformes au protocole ALD;1740;18.473298652;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";5 : Assuré ou bénéficiaire exonéré (régime exonérant);768;8.1537318187;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";6 : Réservé SESAM-VITALE pour les régimes spéciaux SNCF;549;5.8286442297;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";9 : FSV ou FSI;33;0.3503556641;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";C : Soins exonérés en codage CCAM du fait de la nature de l'acte, ou du dépassement du seuil;2696;28.622996072;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";X: séjours non facturables, en attente de droits ou pb de codage;206;2.1870686909;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";Nouveaux-nés, radiothérapie ou prélèvement d'organes;508;5.3933538592;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";Séjours en attente de taux de prise en charge;138;1.4651236862;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:17";="590001749";0 : Pas d'exonération;1130;36.010197578;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:17";="590001749";1 : Soins en rapport avec K>60 ou montant>120¤;7;0.2230720204;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:17";="590001749";2 : Soins relatifs à un séjour > 30 jours;11;0.3505417463;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:17";="590001749";3 : Soins particuliers exonérés;1;0.0318674315;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:17";="590001749";4 : Soins conformes au protocole ALD;1243;39.611217336;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:17";="590001749";5 : Assuré ou bénéficiaire exonéré (régime exonérant);266;8.476736775;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:17";="590001749";C : Soins exonérés en codage CCAM du fait de la nature de l'acte, ou du dépassement du seuil;461;14.690885915;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:17";="590001749";X: séjours non facturables, en attente de droits ou pb de codage;19;0.6054811982;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:27";="590781670";0 : Pas d'exonération;261;23.748862602;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:27";="590781670";1 : Soins en rapport avec K>60 ou montant>120¤;5;0.4549590537;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:27";="590781670";3 : Soins particuliers exonérés;15;1.3648771611;2023.7;X590781670;29AUG23;14:46:17
