"champ";"statut";"annee";"periode";"date du resultat";"ipe";diag;ponder;ponder_cn;dms;dur_med;age_moy;age_med;pct_homme;pct_rea;pct_sc;pct_si;sej_rea;moy_rea;med_rea;moy_age;med_age;pct_homme_rea;lib;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/22 19:10:03";="590782439";Total;15;15;7.0666666667;8;77;86;46.666666667;0;0;0;0;;;;;;Tous diagnostics;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:01";="590049565";Total;;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:41";="020000253";U0710;59;59;9.6949152542;9;78.237288136;81;54.237288136;8.4745762712;0;1.6949152542;5;7.6;8;67.8;71;80;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:41";="020000253";U0711;1;1;8;8;72;72;100;0;0;0;0;;;;;;U0711  COVID-19 RESPIRATOIRE VIRUS NON IDENTIFIÉ;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:41";="020000253";U0714;8;8;7.25;4;59.035958904;65;37.5;0;0;0;0;;;;;;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:41";="020000253";U0715;1;1;0;0;42;42;100;0;0;0;0;;;;;;U0715  COVID-19 AUTRES FORMES, VIRUS NON IDENTIFIÉ;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:41";="020000253";Total;69;69;9.2463768116;9;75.395473496;80;53.623188406;7.2463768116;0;1.4492753623;5;7.6;8;67.8;71;80;Tous diagnostics;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:54";="620003376";U0710;23;23;4.3043478261;2;76.130434783;82;47.826086957;0;4.347826087;0;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:54";="620003376";U0712;1;1;1;1;96;96;0;0;0;0;0;;;;;;U0712  PORTEUR DE SARS-COV-2, ASYMPTOMATIQUE;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:54";="620003376";U0714;4;4;2.5;2.5;72.75;73;75;0;0;0;0;;;;;;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:54";="620003376";Total;28;28;3.9285714286;2;76.357142857;81;50;0;3.5714285714;0;0;;;;;;Tous diagnostics;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:58";="620101337";U0710;62;62;11.806451613;9;72.25483871;77.5;50;4.8387096774;6.4516129032;6.4516129032;3;23.666666667;6;58.666666667;58;100;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:58";="620101337";U0711;2;2;3.5;3.5;83.5;83.5;50;0;0;50;0;;;;;;U0711  COVID-19 RESPIRATOIRE VIRUS NON IDENTIFIÉ;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:58";="620101337";U0712;3;3;1.6666666667;1;59.666666667;74;33.333333333;0;0;0;0;;;;;;U0712  PORTEUR DE SARS-COV-2, ASYMPTOMATIQUE;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:58";="620101337";U0714;32;32;8.53125;4;63.125256849;80;68.75;0;3.125;3.125;0;;;;;;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:58";="620101337";Total;99;99;10.272727273;7;69.149577971;79;55.555555556;3.0303030303;5.0505050505;6.0606060606;3;23.666666667;6;58.666666667;58;100;Tous diagnostics;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:58";="800000077";Total;;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:08";="590782645";U0710;10;10;11.1;13.5;83.8;85;80;0;0;0;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:08";="590782645";U0714;5;5;12.4;11;90;89;40;0;0;0;0;;;;;;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:08";="590782645";Total;15;15;11.533333333;13;85.866666667;88;66.666666667;0;0;0;0;;;;;;Tous diagnostics;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:32";="600100572";U0710;9;9;9.1111111111;7;82.111111111;87;33.333333333;0;0;0;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:32";="600100572";U0712;4;4;17;16;91;92.5;25;0;0;0;0;;;;;;U0712  PORTEUR DE SARS-COV-2, ASYMPTOMATIQUE;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:32";="600100572";Total;13;13;11.538461538;11;84.846153846;89;30.769230769;0;0;0;0;;;;;;Tous diagnostics;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";U0710;31;31;13.935483871;12;80.096774194;83;35.483870968;0;0;0;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";U0711;3;3;0;0;43.333333333;27;33.333333333;0;0;0;0;;;;;;U0711  COVID-19 RESPIRATOIRE VIRUS NON IDENTIFIÉ;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";U0714;8;8;8.375;8;72.549315068;83;50;0;0;0;0;;;;;;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";U0715;2;2;0.5;0.5;70;70;50;0;0;0;0;;;;;;U0715  COVID-19 AUTRES FORMES, VIRUS NON IDENTIFIÉ;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";Total;44;44;11.363636364;11;75.758966376;82;38.636363636;0;0;0;0;;;;;;Tous diagnostics;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:39";="020000055";U0710;6;6;14.333333333;11.5;89.833333333;89;33.333333333;0;0;0;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:39";="020000055";U0712;2;2;8;8;85;85;100;0;0;0;0;;;;;;U0712  PORTEUR DE SARS-COV-2, ASYMPTOMATIQUE;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:39";="020000055";U0714;1;1;14;14;87;87;0;0;0;0;0;;;;;;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:39";="020000055";Total;9;9;12.888888889;11;88.444444444;87;44.444444444;0;0;0;0;;;;;;Tous diagnostics;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:40";="590782652";U0710;59;59;4.593220339;3;78.677966102;82;44.06779661;0;0;0;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:40";="590782652";U0712;1;1;0;0;82;82;0;0;0;0;0;;;;;;U0712  PORTEUR DE SARS-COV-2, ASYMPTOMATIQUE;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:40";="590782652";Total;60;60;4.5166666667;3;78.733333333;82;43.333333333;0;0;0;0;;;;;;Tous diagnostics;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";U0710;3;3;19;20;92.333333333;90;0;0;0;0;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";U0712;1;1;7;7;91;91;0;0;0;0;0;;;;;;U0712  PORTEUR DE SARS-COV-2, ASYMPTOMATIQUE;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";U0714;2;2;11.5;11.5;85.5;85.5;0;0;0;0;0;;;;;;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";Total;6;6;14.5;15.5;89.833333333;89;0;0;0;0;0;;;;;;Tous diagnostics;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:44";="600100648";U0710;24;24;6.125;5;80.625;82.5;37.5;0;0;0;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:44";="600100648";U0711;1;1;8;8;93;93;0;0;0;0;0;;;;;;U0711  COVID-19 RESPIRATOIRE VIRUS NON IDENTIFIÉ;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:44";="600100648";U0712;3;3;0.6666666667;1;68;78;33.333333333;0;0;0;0;;;;;;U0712  PORTEUR DE SARS-COV-2, ASYMPTOMATIQUE;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:44";="600100648";U0714;1;1;1;1;92;92;100;0;0;0;0;;;;;;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:44";="600100648";Total;29;29;5.4482758621;5;80.137931034;84;37.931034483;0;0;0;0;;;;;;Tous diagnostics;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:29";="620000026";Total;;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:23:22";="590065223";Total;;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 14:21:25";="620003350";U0710;73;73;10.465753425;10;84.643835616;86;30.136986301;0;32.876712329;0;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:25";="620003350";U0714;30;30;5.6;4;79.466666667;82.5;26.666666667;0;46.666666667;0;0;;;;;;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:25";="620003350";Total;103;103;9.0485436893;8;83.13592233;86;29.126213592;0;36.893203883;0;0;;;;;;Tous diagnostics;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";U0710;18;18;13.666666667;11.5;82;84.5;22.222222222;0;0;0;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";U0714;1;1;8;8;80;80;100;0;0;0;0;;;;;;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";Total;19;19;13.368421053;10;81.894736842;84;26.315789474;0;0;0;0;;;;;;Tous diagnostics;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";U0710;41;41;9.0731707317;7;79.219512195;83;43.902439024;0;12.195121951;4.8780487805;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";U0712;2;2;4;4;86;86;0;0;0;0;0;;;;;;U0712  PORTEUR DE SARS-COV-2, ASYMPTOMATIQUE;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";U0714;10;10;8.5;7.5;80;81.5;30;0;0;10;0;;;;;;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";Total;53;53;8.7735849057;7;79.622641509;83;39.622641509;0;9.4339622642;5.6603773585;0;;;;;;Tous diagnostics;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:33";="590001749";U0710;13;13;10.692307692;13;84.615384615;85;53.846153846;0;0;0;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:33";="590001749";U0714;7;7;8;7;74.857142857;80;57.142857143;0;0;0;0;;;;;;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:33";="590001749";Total;20;20;9.75;8;81.2;84.5;55;0;0;0;0;;;;;;Tous diagnostics;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:43";="590781670";U0710;24;24;11.666666667;10.5;85;87;41.666666667;0;0;0;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:43";="590781670";U0714;5;5;10.8;6;64.4;63;60;0;0;0;0;;;;;;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:43";="590781670";Total;29;29;11.517241379;10;81.448275862;86;44.827586207;0;0;0;0;;;;;;Tous diagnostics;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";U0710;54;54;10.518518519;9;74.096803653;81.5;48.148148148;7.4074074074;5.5555555556;0;4;11.5;4;65.5;65.5;50;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";U0712;5;5;10.8;10;82.6;85;60;0;0;20;0;;;;;;U0712  PORTEUR DE SARS-COV-2, ASYMPTOMATIQUE;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";U0714;9;9;11;8;50.950380518;70;66.666666667;0;0;0;0;;;;;;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";Total;68;68;10.602941176;9;71.658541499;81.5;51.470588235;5.8823529412;4.4117647059;1.4705882353;4;11.5;4;65.5;65.5;50;Tous diagnostics;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:52";="620100651";U0710;83;83;9.686746988;7;73.070737746;77;45.78313253;8.4337349398;3.6144578313;12.048192771;7;19.714285714;9;64.857142857;72;71.428571429;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:52";="620100651";U0712;4;4;1;1;54.25;53;50;0;0;0;0;;;;;;U0712  PORTEUR DE SARS-COV-2, ASYMPTOMATIQUE;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:52";="620100651";U0714;53;53;2.7169811321;1;40.678883432;40;47.169811321;1.8867924528;0;0;1;11;11;70;70;0;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:52";="620100651";U0715;1;1;5;5;70;70;100;0;0;0;0;;;;;;U0715  COVID-19 AUTRES FORMES, VIRUS NON IDENTIFIÉ;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:52";="620100651";Total;141;141;6.7872340426;3;60.339376275;70;46.808510638;5.6737588652;2.1276595745;7.0921985816;8;18.625;9;65.5;71.5;62.5;Tous diagnostics;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:40:19";="620027839";Total;;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:35:49";="590780284";U0710;59;59;8.2203389831;4;78.033898305;80;59.322033898;3.3898305085;1.6949152542;1.6949152542;2;4.5;4.5;65;65;50;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:49";="590780284";U0711;6;6;4.3333333333;3;69.166666667;76;50;0;0;0;0;;;;;;U0711  COVID-19 RESPIRATOIRE VIRUS NON IDENTIFIÉ;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:49";="590780284";U0712;1;1;5;5;84;84;100;0;0;0;0;;;;;;U0712  PORTEUR DE SARS-COV-2, ASYMPTOMATIQUE;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:49";="590780284";U0714;16;16;5.1875;4.5;74.125;80;43.75;0;0;0;0;;;;;;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:49";="590780284";U0715;2;2;9.5;9.5;73.5;73.5;50;0;0;0;0;;;;;;U0715  COVID-19 AUTRES FORMES, VIRUS NON IDENTIFIÉ;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:49";="590780284";Total;84;84;7.3571428571;4;76.619047619;80.5;55.952380952;2.380952381;1.1904761905;1.1904761905;2;4.5;4.5;65;65;50;Tous diagnostics;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:42:54";="020000287";U0710;47;47;7.9574468085;7;80.021276596;84;59.574468085;0;2.1276595745;0;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:54";="020000287";U0711;1;1;4;4;75;75;0;0;0;0;0;;;;;;U0711  COVID-19 RESPIRATOIRE VIRUS NON IDENTIFIÉ;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:54";="020000287";U0714;8;8;5.375;5;83;86.5;25;0;0;0;0;;;;;;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:54";="020000287";Total;56;56;7.5178571429;7;80.357142857;84.5;53.571428571;0;1.7857142857;0;0;;;;;;Tous diagnostics;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:32:57";="590797353";U0710;54;54;8.462962963;7;64.424759006;74;42.592592593;0;20.37037037;0;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:57";="590797353";U0714;15;15;5.8;2;47.741004566;55;20;0;6.6666666667;0;0;;;;;;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:57";="590797353";U0715;2;2;2.5;2.5;77.5;77.5;0;0;0;0;0;;;;;;U0715  COVID-19 AUTRES FORMES, VIRUS NON IDENTIFIÉ;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:57";="590797353";Total;71;71;7.7323943662;6;61.2683388;73;36.61971831;0;16.901408451;0;0;;;;;;Tous diagnostics;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:29:39";="590782421";U0710;108;108;10.351851852;8;76.032166413;79.5;60.185185185;10.185185185;6.4814814815;1.8518518519;11;5.9090909091;5;72;75;72.727272727;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:39";="590782421";U0711;1;1;7;7;90;90;0;0;0;0;0;;;;;;U0711  COVID-19 RESPIRATOIRE VIRUS NON IDENTIFIÉ;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:39";="590782421";U0712;5;5;13.8;13;85.2;87;60;0;0;0;0;;;;;;U0712  PORTEUR DE SARS-COV-2, ASYMPTOMATIQUE;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:39";="590782421";U0714;49;49;5.0816326531;2;56.938216382;74;44.897959184;0;4.0816326531;2.0408163265;0;;;;;;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:39";="590782421";Total;163;163;8.8527607362;6;70.659181444;78;55.214723926;6.7484662577;5.5214723926;1.8404907975;11;5.9090909091;5;72;75;72.727272727;Tous diagnostics;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:11:54";="800000051";U0710;8;8;13.5;11;83.75;81.5;37.5;0;0;0;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:54";="800000051";Total;8;8;13.5;11;83.75;81.5;37.5;0;0;0;0;;;;;;Tous diagnostics;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:15";="800000135";Total;;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:11:27";="590782165";U0710;39;39;12.025641026;10;79.871794872;84;43.58974359;0;12.820512821;0;0;;;;;;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:27";="590782165";U0712;1;1;1;1;61;61;0;0;0;0;0;;;;;;U0712  PORTEUR DE SARS-COV-2, ASYMPTOMATIQUE;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:27";="590782165";U0714;22;22;8.2272727273;6.5;76.318181818;83.5;40.909090909;0;0;0;0;;;;;;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:27";="590782165";Total;62;62;10.5;8.5;78.306451613;83.5;41.935483871;0;8.064516129;0;0;;;;;;Tous diagnostics;2023.7;X590782165;30AUG23;14:10:49
