"champ";"statut";"annee";"periode";"date du resultat";"ipe";diag;ponder;dms;dur_med;age_moy;age_med;pct_homme;pct_rea;pct_sc;pct_si;sej_rea;moy_rea;med_rea;moy_age;med_age;pct_homme_rea;lib;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 11:13:44";="800000085";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:48:36";="590780193";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:25:39";="020004404";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:25:59";="590781605";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:29:24";="590781811";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 14:34:01";="800000093";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:53:05";="600100713";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:59:47";="020000048";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 15:43:32";="590782215";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 16:59:11";="620100685";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 18:54:00";="800000069";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/09/01 08:06:55";="020000071";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 09:18:59";="600100721";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:15:54";="620100057";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:21:44";="600101984";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 13:08:09";="800000028";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 14:02:59";="590783239";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:13:14";="590785374";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:55:59";="020000063";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 18:27:24";="590000188";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/04 15:54:35";="620103432";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/05 09:24:02";="590782637";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 12:09:53";="590781803";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 17:41:14";="590780227";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:45:13";="800000044";U119;7;0;0;60.571428571;60;28.571428571;0;0;0;0;;;;;;U119   NÉCESSITÉ D'UNE VACCINATION CONTRE LA COVID-19, SAI;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:13";="800000044";Total;7;0;0;60.571428571;60;28.571428571;0;0;0;0;;;;;;Tous diagnostics;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/07 20:01:23";="590781902";Total;;;0;;0;;;;;;;0;;0;;Tous diagnostics;2023.7;X590781902;07SEP23;20:00:41
