"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;eff;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/18 15:15:27";="020000022";Dont mode d'entrée différent de 8;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:27";="020000022";Dont poids d'entrée manquant;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:27";="020000022";Dont âge gestationnel manquant;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:27";="020000022";Dont séjours classés en erreur (CM90);0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:27";="020000022";Enfant né vivant (DP Z38) avec un DA de mort-né (DP P95);0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:19";="590782439";Nombre de mort-nés (DP=P95);0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:19";="590782439";Dont âge en jour différent de 0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:19";="590782439";Dont durée de séjour différente de 0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:19";="590782439";Dont mode de sortie différent de 9;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:19";="590782439";Dont mode d'entrée différent de 8;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:19";="590782439";Dont poids d'entrée manquant;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:19";="590782439";Dont âge gestationnel manquant;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:19";="590782439";Dont séjours classés en erreur (CM90);0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:19";="590782439";Enfant né vivant (DP Z38) avec un DA de mort-né (DP P95);0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:15";="590049565";Nombre de mort-nés (DP=P95);0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:15";="590049565";Dont âge en jour différent de 0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:15";="590049565";Dont durée de séjour différente de 0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:15";="590049565";Dont mode de sortie différent de 9;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:15";="590049565";Dont mode d'entrée différent de 8;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:15";="590049565";Dont poids d'entrée manquant;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:15";="590049565";Dont âge gestationnel manquant;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:15";="590049565";Dont séjours classés en erreur (CM90);0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:15";="590049565";Enfant né vivant (DP Z38) avec un DA de mort-né (DP P95);0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:39:07";="020000253";Nombre de mort-nés (DP=P95);3;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:07";="020000253";Dont âge en jour différent de 0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:07";="020000253";Dont durée de séjour différente de 0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:07";="020000253";Dont mode de sortie différent de 9;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:07";="020000253";Dont mode d'entrée différent de 8;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:07";="020000253";Dont poids d'entrée manquant;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:07";="020000253";Dont âge gestationnel manquant;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:07";="020000253";Dont séjours classés en erreur (CM90);0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:07";="020000253";Enfant né vivant (DP Z38) avec un DA de mort-né (DP P95);0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:38:18";="620003376";Nombre de mort-nés (DP=P95);0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:18";="620003376";Dont âge en jour différent de 0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:18";="620003376";Dont durée de séjour différente de 0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:18";="620003376";Dont mode de sortie différent de 9;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:18";="620003376";Dont mode d'entrée différent de 8;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:18";="620003376";Dont poids d'entrée manquant;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:18";="620003376";Dont âge gestationnel manquant;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:18";="620003376";Dont séjours classés en erreur (CM90);0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:18";="620003376";Enfant né vivant (DP Z38) avec un DA de mort-né (DP P95);0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:06:39";="620101337";Nombre de mort-nés (DP=P95);12;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:39";="620101337";Dont âge en jour différent de 0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:39";="620101337";Dont durée de séjour différente de 0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:39";="620101337";Dont mode de sortie différent de 9;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:39";="620101337";Dont mode d'entrée différent de 8;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:39";="620101337";Dont poids d'entrée manquant;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:39";="620101337";Dont âge gestationnel manquant;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:39";="620101337";Dont séjours classés en erreur (CM90);0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:39";="620101337";Enfant né vivant (DP Z38) avec un DA de mort-né (DP P95);0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:47:21";="800000077";Nombre de mort-nés (DP=P95);0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:21";="800000077";Dont âge en jour différent de 0;0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:21";="800000077";Dont durée de séjour différente de 0;0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:21";="800000077";Dont mode de sortie différent de 9;0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:21";="800000077";Dont mode d'entrée différent de 8;0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:21";="800000077";Dont poids d'entrée manquant;0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:21";="800000077";Dont âge gestationnel manquant;0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:21";="800000077";Dont séjours classés en erreur (CM90);0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:21";="800000077";Enfant né vivant (DP Z38) avec un DA de mort-né (DP P95);0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:28";="590782645";Nombre de mort-nés (DP=P95);0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:28";="590782645";Dont âge en jour différent de 0;0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:28";="590782645";Dont durée de séjour différente de 0;0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:28";="590782645";Dont mode de sortie différent de 9;0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:28";="590782645";Dont mode d'entrée différent de 8;0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:28";="590782645";Dont poids d'entrée manquant;0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:28";="590782645";Dont âge gestationnel manquant;0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:28";="590782645";Dont séjours classés en erreur (CM90);0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:28";="590782645";Enfant né vivant (DP Z38) avec un DA de mort-né (DP P95);0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:47";="600100572";Nombre de mort-nés (DP=P95);0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:47";="600100572";Dont âge en jour différent de 0;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:47";="600100572";Dont durée de séjour différente de 0;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:47";="600100572";Dont mode de sortie différent de 9;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:47";="600100572";Dont mode d'entrée différent de 8;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:47";="600100572";Dont poids d'entrée manquant;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:47";="600100572";Dont âge gestationnel manquant;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:47";="600100572";Dont séjours classés en erreur (CM90);0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:47";="600100572";Enfant né vivant (DP Z38) avec un DA de mort-né (DP P95);0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:57";="020004495";Nombre de mort-nés (DP=P95);0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:57";="020004495";Dont âge en jour différent de 0;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:57";="020004495";Dont durée de séjour différente de 0;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:57";="020004495";Dont mode de sortie différent de 9;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:57";="020004495";Dont mode d'entrée différent de 8;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:57";="020004495";Dont poids d'entrée manquant;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:57";="020004495";Dont âge gestationnel manquant;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:57";="020004495";Dont séjours classés en erreur (CM90);0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:57";="020004495";Enfant né vivant (DP Z38) avec un DA de mort-né (DP P95);0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:56";="020000055";Nombre de mort-nés (DP=P95);0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:56";="020000055";Dont âge en jour différent de 0;0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:56";="020000055";Dont durée de séjour différente de 0;0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:56";="020000055";Dont mode de sortie différent de 9;0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:56";="020000055";Dont mode d'entrée différent de 8;0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:56";="020000055";Dont poids d'entrée manquant;0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:56";="020000055";Dont âge gestationnel manquant;0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:56";="020000055";Dont séjours classés en erreur (CM90);0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:56";="020000055";Enfant né vivant (DP Z38) avec un DA de mort-né (DP P95);0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:29:26";="590782652";Nombre de mort-nés (DP=P95);1;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:26";="590782652";Dont âge en jour différent de 0;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:26";="590782652";Dont durée de séjour différente de 0;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:26";="590782652";Dont mode de sortie différent de 9;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:26";="590782652";Dont mode d'entrée différent de 8;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:26";="590782652";Dont poids d'entrée manquant;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:26";="590782652";Dont âge gestationnel manquant;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:26";="590782652";Dont séjours classés en erreur (CM90);0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:26";="590782652";Enfant né vivant (DP Z38) avec un DA de mort-né (DP P95);0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:49:07";="590780052";Nombre de mort-nés (DP=P95);0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:49:07";="590780052";Dont âge en jour différent de 0;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:49:07";="590780052";Dont durée de séjour différente de 0;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:49:07";="590780052";Dont mode de sortie différent de 9;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:49:07";="590780052";Dont mode d'entrée différent de 8;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:49:07";="590780052";Dont poids d'entrée manquant;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:49:07";="590780052";Dont âge gestationnel manquant;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:49:07";="590780052";Dont séjours classés en erreur (CM90);0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:49:07";="590780052";Enfant né vivant (DP Z38) avec un DA de mort-né (DP P95);0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:20:07";="600100648";Nombre de mort-nés (DP=P95);0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:07";="600100648";Dont âge en jour différent de 0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:07";="600100648";Dont durée de séjour différente de 0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:07";="600100648";Dont mode de sortie différent de 9;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:07";="600100648";Dont mode d'entrée différent de 8;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:07";="600100648";Dont poids d'entrée manquant;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:07";="600100648";Dont âge gestationnel manquant;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:07";="600100648";Dont séjours classés en erreur (CM90);0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:07";="600100648";Enfant né vivant (DP Z38) avec un DA de mort-né (DP P95);0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:50";="620000026";Nombre de mort-nés (DP=P95);0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:50";="620000026";Dont âge en jour différent de 0;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:50";="620000026";Dont durée de séjour différente de 0;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:50";="620000026";Dont mode de sortie différent de 9;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:50";="620000026";Dont mode d'entrée différent de 8;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:50";="620000026";Dont poids d'entrée manquant;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:50";="620000026";Dont âge gestationnel manquant;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:50";="620000026";Dont séjours classés en erreur (CM90);0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:50";="620000026";Enfant né vivant (DP Z38) avec un DA de mort-né (DP P95);0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:23:37";="590065223";Nombre de mort-nés (DP=P95);0;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:37";="590065223";Dont âge en jour différent de 0;0;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:37";="590065223";Dont durée de séjour différente de 0;0;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:37";="590065223";Dont mode de sortie différent de 9;0;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:37";="590065223";Dont mode d'entrée différent de 8;0;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:37";="590065223";Dont poids d'entrée manquant;0;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:37";="590065223";Dont âge gestationnel manquant;0;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:37";="590065223";Dont séjours classés en erreur (CM90);0;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:37";="590065223";Enfant né vivant (DP Z38) avec un DA de mort-né (DP P95);0;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 14:21:46";="620003350";Nombre de mort-nés (DP=P95);0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:46";="620003350";Dont âge en jour différent de 0;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:46";="620003350";Dont durée de séjour différente de 0;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:46";="620003350";Dont mode de sortie différent de 9;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:46";="620003350";Dont mode d'entrée différent de 8;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:46";="620003350";Dont poids d'entrée manquant;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:46";="620003350";Dont âge gestationnel manquant;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:46";="620003350";Dont séjours classés en erreur (CM90);0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:46";="620003350";Enfant né vivant (DP Z38) avec un DA de mort-né (DP P95);0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:41";="590000600";Nombre de mort-nés (DP=P95);0;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:41";="590000600";Dont âge en jour différent de 0;0;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:41";="590000600";Dont durée de séjour différente de 0;0;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:41";="590000600";Dont mode de sortie différent de 9;0;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:41";="590000600";Dont mode d'entrée différent de 8;0;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:41";="590000600";Dont poids d'entrée manquant;0;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:41";="590000600";Dont âge gestationnel manquant;0;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:41";="590000600";Dont séjours classés en erreur (CM90);0;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:41";="590000600";Enfant né vivant (DP Z38) avec un DA de mort-né (DP P95);0;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:21";="620025346";Nombre de mort-nés (DP=P95);1;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:21";="620025346";Dont âge en jour différent de 0;0;2023.7;X620025346;29AUG23;14:24:34
