"champ";"statut";"annee";"periode";"date du resultat";"ipe";exofj;mfj0;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/22 19:09:50";="590782439";A: FJ à la charge de l'assuré;montant FJ numérique;550;55.165496489;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:50";="590782439";R: FJ à la charge de AMO;montant FJ numérique;3;0.3009027081;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:50";="590782439";R: FJ à la charge de AMO;montant FJ non numérique ou à 0;3;0.3009027081;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:50";="590782439";FJ non applicable;montant FJ numérique;1;0.1003009027;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:50";="590782439";FJ non applicable;montant FJ non numérique ou à 0;417;41.825476429;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:50";="590782439";X: séjours non facturables, en attente de droits ou pb de codage;montant FJ numérique;1;0.1003009027;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:50";="590782439";X: séjours non facturables, en attente de droits ou pb de codage;montant FJ non numérique ou à 0;22;2.2066198596;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:54:47";="590049565";A: FJ à la charge de l'assuré;montant FJ numérique;155;98.101265823;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:47";="590049565";FJ non applicable;montant FJ non numérique ou à 0;3;1.8987341772;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:13";="020000253";A: FJ à la charge de l'assuré;montant FJ numérique;4534;28.564228564;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:13";="020000253";A: FJ à la charge de l'assuré;montant FJ non numérique ou à 0;2;0.0126000126;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:13";="020000253";L: FJ à la charge du régime Als-Mos;montant FJ numérique;3;0.0189000189;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:13";="020000253";R: FJ à la charge de AMO;montant FJ numérique;489;3.0807030807;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:13";="020000253";R: FJ à la charge de AMO;montant FJ non numérique ou à 0;158;0.9954009954;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:13";="020000253";FJ non applicable;montant FJ numérique;3;0.0189000189;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:13";="020000253";FJ non applicable;montant FJ non numérique ou à 0;10103;63.648963649;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:13";="020000253";X: séjours non facturables, en attente de droits ou pb de codage;montant FJ numérique;19;0.1197001197;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:13";="020000253";X: séjours non facturables, en attente de droits ou pb de codage;montant FJ non numérique ou à 0;112;0.7056007056;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:13";="020000253";Nouveaux-nés (<=30 jrs), radiothérapie ou prélèvement d'organes;montant FJ numérique;85;0.5355005355;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:13";="020000253";Nouveaux-nés (<=30 jrs), radiothérapie ou prélèvement d'organes;montant FJ non numérique ou à 0;365;2.2995022995;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:33";="620003376";A: FJ à la charge de l'assuré;montant FJ numérique;2752;21.018865042;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:33";="620003376";L: FJ à la charge du régime Als-Mos;montant FJ numérique;5;0.0381883449;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:33";="620003376";R: FJ à la charge de AMO;montant FJ non numérique ou à 0;24;0.1833040556;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:33";="620003376";FJ non applicable;montant FJ numérique;55;0.4200717941;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:33";="620003376";FJ non applicable;montant FJ non numérique ou à 0;10195;77.866035286;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:33";="620003376";X: séjours non facturables, en attente de droits ou pb de codage;montant FJ non numérique ou à 0;62;0.473535477;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";A: FJ à la charge de l'assuré;montant FJ numérique;6262;36.1067866;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";A: FJ à la charge de l'assuré;montant FJ non numérique ou à 0;479;2.7619212362;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";L: FJ à la charge du régime Als-Mos;montant FJ numérique;8;0.0461281209;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";R: FJ à la charge de AMO;montant FJ numérique;1121;6.4637029349;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";R: FJ à la charge de AMO;montant FJ non numérique ou à 0;201;1.1589690365;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";FJ non applicable;montant FJ numérique;207;1.1935651271;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";FJ non applicable;montant FJ non numérique ou à 0;7549;43.527648042;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";X: séjours non facturables, en attente de droits ou pb de codage;montant FJ numérique;60;0.3459609064;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";X: séjours non facturables, en attente de droits ou pb de codage;montant FJ non numérique ou à 0;228;1.3146514444;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";Nouveaux-nés (<=30 jrs), radiothérapie ou prélèvement d'organes;montant FJ numérique;235;1.3550135501;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";Nouveaux-nés (<=30 jrs), radiothérapie ou prélèvement d'organes;montant FJ non numérique ou à 0;990;5.7083549559;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";Séjours en attente de taux de prise en charge;montant FJ non numérique ou à 0;3;0.0172980453;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:39";="800000077";A: FJ à la charge de l'assuré;montant FJ numérique;323;47.430249633;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:39";="800000077";FJ non applicable;montant FJ non numérique ou à 0;346;50.80763583;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:39";="800000077";Séjours en attente de taux de prise en charge;montant FJ numérique;10;1.4684287812;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:39";="800000077";Séjours en attente de taux de prise en charge;montant FJ non numérique ou à 0;2;0.2936857562;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";A: FJ à la charge de l'assuré;montant FJ numérique;318;92.441860465;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";R: FJ à la charge de AMO;montant FJ numérique;2;0.5813953488;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";FJ non applicable;montant FJ non numérique ou à 0;17;4.9418604651;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";X: séjours non facturables, en attente de droits ou pb de codage;montant FJ numérique;1;0.2906976744;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";Séjours en attente de taux de prise en charge;montant FJ numérique;6;1.7441860465;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:18";="600100572";A: FJ à la charge de l'assuré;montant FJ numérique;237;92.578125;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:18";="600100572";R: FJ à la charge de AMO;montant FJ numérique;1;0.390625;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:18";="600100572";FJ non applicable;montant FJ non numérique ou à 0;8;3.125;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:18";="600100572";Séjours en attente de taux de prise en charge;montant FJ numérique;10;3.90625;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:24";="020004495";A: FJ à la charge de l'assuré;montant FJ numérique;859;40.404515522;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:24";="020004495";A: FJ à la charge de l'assuré;montant FJ non numérique ou à 0;4;0.1881467545;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:24";="020004495";L: FJ à la charge du régime Als-Mos;montant FJ numérique;3;0.1411100659;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:24";="020004495";R: FJ à la charge de AMO;montant FJ numérique;8;0.3762935089;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:24";="020004495";R: FJ à la charge de AMO;montant FJ non numérique ou à 0;18;0.8466603951;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:24";="020004495";FJ non applicable;montant FJ numérique;2;0.0940733772;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:24";="020004495";FJ non applicable;montant FJ non numérique ou à 0;1127;53.010348071;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:24";="020004495";X: séjours non facturables, en attente de droits ou pb de codage;montant FJ numérique;2;0.0940733772;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:24";="020004495";X: séjours non facturables, en attente de droits ou pb de codage;montant FJ non numérique ou à 0;86;4.0451552211;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:24";="020004495";Séjours en attente de taux de prise en charge;montant FJ numérique;7;0.3292568203;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:24";="020004495";Séjours en attente de taux de prise en charge;montant FJ non numérique ou à 0;10;0.4703668862;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:19";="020000055";A: FJ à la charge de l'assuré;montant FJ numérique;250;95.419847328;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:19";="020000055";R: FJ à la charge de AMO;montant FJ numérique;3;1.1450381679;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:19";="020000055";R: FJ à la charge de AMO;montant FJ non numérique ou à 0;5;1.9083969466;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:19";="020000055";FJ non applicable;montant FJ non numérique ou à 0;1;0.3816793893;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:19";="020000055";X: séjours non facturables, en attente de droits ou pb de codage;montant FJ non numérique ou à 0;3;1.1450381679;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:25";="590782652";A: FJ à la charge de l'assuré;montant FJ numérique;2083;24.251950169;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:25";="590782652";A: FJ à la charge de l'assuré;montant FJ non numérique ou à 0;2;0.0232855979;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:25";="590782652";R: FJ à la charge de AMO;montant FJ numérique;574;6.6829665852;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:25";="590782652";R: FJ à la charge de AMO;montant FJ non numérique ou à 0;45;0.5239259518;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:25";="590782652";FJ non applicable;montant FJ non numérique ou à 0;5230;60.891838398;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:25";="590782652";X: séjours non facturables, en attente de droits ou pb de codage;montant FJ numérique;1;0.0116427989;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:25";="590782652";X: séjours non facturables, en attente de droits ou pb de codage;montant FJ non numérique ou à 0;113;1.315636279;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:25";="590782652";Nouveaux-nés (<=30 jrs), radiothérapie ou prélèvement d'organes;montant FJ non numérique ou à 0;487;5.6700430784;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:25";="590782652";Séjours en attente de taux de prise en charge;montant FJ numérique;13;0.1513563861;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:25";="590782652";Séjours en attente de taux de prise en charge;montant FJ non numérique ou à 0;41;0.4773547561;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:39";="590780052";A: FJ à la charge de l'assuré;montant FJ numérique;366;28.17551963;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:39";="590780052";R: FJ à la charge de AMO;montant FJ numérique;2;0.1539645881;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:39";="590780052";FJ non applicable;montant FJ non numérique ou à 0;920;70.823710547;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:39";="590780052";Séjours en attente de taux de prise en charge;montant FJ numérique;2;0.1539645881;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:39";="590780052";Séjours en attente de taux de prise en charge;montant FJ non numérique ou à 0;9;0.6928406467;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:26";="600100648";A: FJ à la charge de l'assuré;montant FJ numérique;1770;51.34899913;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:26";="600100648";A: FJ à la charge de l'assuré;montant FJ non numérique ou à 0;36;1.044386423;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:26";="600100648";L: FJ à la charge du régime Als-Mos;montant FJ numérique;1;0.029010734;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:26";="600100648";R: FJ à la charge de AMO;montant FJ numérique;11;0.3191180737;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:26";="600100648";R: FJ à la charge de AMO;montant FJ non numérique ou à 0;74;2.1467943139;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:26";="600100648";FJ non applicable;montant FJ numérique;1;0.029010734;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:26";="600100648";FJ non applicable;montant FJ non numérique ou à 0;1516;43.980272701;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:26";="600100648";X: séjours non facturables, en attente de droits ou pb de codage;montant FJ numérique;5;0.1450536699;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:26";="600100648";X: séjours non facturables, en attente de droits ou pb de codage;montant FJ non numérique ou à 0;16;0.4641717435;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:26";="600100648";Séjours en attente de taux de prise en charge;montant FJ numérique;13;0.3771395416;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:26";="600100648";Séjours en attente de taux de prise en charge;montant FJ non numérique ou à 0;4;0.1160429359;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";A: FJ à la charge de l'assuré;montant FJ numérique;2158;30.215625875;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";A: FJ à la charge de l'assuré;montant FJ non numérique ou à 0;2;0.0280033604;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";L: FJ à la charge du régime Als-Mos;montant FJ numérique;7;0.0980117614;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";R: FJ à la charge de AMO;montant FJ numérique;3;0.0420050406;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";R: FJ à la charge de AMO;montant FJ non numérique ou à 0;609;8.5270232428;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";FJ non applicable;montant FJ numérique;126;1.7642117054;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";FJ non applicable;montant FJ non numérique ou à 0;3745;52.436292355;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";X: séjours non facturables, en attente de droits ou pb de codage;montant FJ numérique;1;0.0140016802;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";X: séjours non facturables, en attente de droits ou pb de codage;montant FJ non numérique ou à 0;90;1.2601512181;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";Nouveaux-nés (<=30 jrs), radiothérapie ou prélèvement d'organes;montant FJ non numérique ou à 0;6;0.0840100812;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";Séjours en attente de taux de prise en charge;montant FJ numérique;160;2.2402688323;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:14";="620000026";Séjours en attente de taux de prise en charge;montant FJ non numérique ou à 0;235;3.2903948474;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:21:09";="620003350";A: FJ à la charge de l'assuré;montant FJ numérique;2149;62.145748988;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:09";="620003350";L: FJ à la charge du régime Als-Mos;montant FJ numérique;1;0.02891845;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:09";="620003350";R: FJ à la charge de AMO;montant FJ non numérique ou à 0;3;0.0867553499;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:09";="620003350";FJ non applicable;montant FJ numérique;3;0.0867553499;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:09";="620003350";FJ non applicable;montant FJ non numérique ou à 0;1285;37.160208213;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:09";="620003350";X: séjours non facturables, en attente de droits ou pb de codage;montant FJ non numérique ou à 0;17;0.4916136495;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:11";="590000600";A: FJ à la charge de l'assuré;montant FJ numérique;707;72.736625514;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:11";="590000600";A: FJ à la charge de l'assuré;montant FJ non numérique ou à 0;9;0.9259259259;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:11";="590000600";L: FJ à la charge du régime Als-Mos;montant FJ numérique;2;0.2057613169;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:11";="590000600";R: FJ à la charge de AMO;montant FJ numérique;3;0.3086419753;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:11";="590000600";FJ non applicable;montant FJ numérique;1;0.1028806584;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:11";="590000600";FJ non applicable;montant FJ non numérique ou à 0;242;24.897119342;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:11";="590000600";Séjours en attente de taux de prise en charge;montant FJ non numérique ou à 0;8;0.8230452675;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";A: FJ à la charge de l'assuré;montant FJ numérique;2940;31.213504618;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";A: FJ à la charge de l'assuré;montant FJ non numérique ou à 0;207;2.1976855292;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";L: FJ à la charge du régime Als-Mos;montant FJ numérique;1;0.0106168383;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";R: FJ à la charge de AMO;montant FJ numérique;527;5.595073787;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";R: FJ à la charge de AMO;montant FJ non numérique ou à 0;63;0.6688608132;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";FJ non applicable;montant FJ numérique;451;4.7881940758;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";FJ non applicable;montant FJ non numérique ou à 0;4353;46.215097144;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";X: séjours non facturables, en attente de droits ou pb de codage;montant FJ non numérique ou à 0;231;2.4524896486;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";Nouveaux-nés (<=30 jrs), radiothérapie ou prélèvement d'organes;montant FJ non numérique ou à 0;508;5.3933538592;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:45";="620025346";Séjours en attente de taux de prise en charge;montant FJ numérique;19;0.2017199278;2023.7;X620025346;29AUG23;14:24:34
