"champ";"statut";"annee";"periode";"date du resultat";"ipe";remp_majo;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 08:42:35";="020000287";Montant lié à la majoration du parcours de soins vide ou à 0;5616;100;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:32:31";="590797353";Montant lié à la majoration du parcours de soins vide ou à 0;30424;100;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:29:12";="590782421";Montant lié à la majoration du parcours de soins vide ou à 0;43541;100;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:11:33";="800000051";Montant lié à la majoration du parcours de soins vide ou à 0;535;100;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:00";="800000135";Montant lié à la majoration du parcours de soins vide ou à 0;190;100;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:11:06";="590782165";Montant lié à la majoration du parcours de soins vide ou à 0;11600;100;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:39:03";="620101360";Montant lié à la majoration du parcours de soins vide ou à 0;15673;100;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:55:42";="590781662";Montant lié à la majoration du parcours de soins vide ou à 0;3428;100;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:04:28";="590781621";Montant lié à la majoration du parcours de soins vide ou à 0;4382;100;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:19:18";="590052056";Montant lié à la majoration du parcours de soins vide ou à 0;9941;100;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 16:33:49";="590781795";Montant lié à la majoration du parcours de soins vide ou à 0;867;100;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/31 09:36:46";="620100677";Montant lié à la majoration du parcours de soins vide ou à 0;3235;100;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 10:37:19";="590781415";Montant lié à la majoration du parcours de soins vide ou à 0;33724;100;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:20";="620103440";Montant lié à la majoration du parcours de soins vide ou à 0;46841;100;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:13:21";="800000085";Montant lié à la majoration du parcours de soins vide ou à 0;1502;100;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:46:48";="590780193";Montant lié à la majoration du parcours de soins vide ou à 0;132993;100;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:24:55";="020004404";Montant lié à la majoration du parcours de soins vide ou à 0;9220;100;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:25:29";="590781605";Montant lié à la majoration du parcours de soins vide ou à 0;14173;100;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:29:05";="590781811";Montant lié à la majoration du parcours de soins vide ou à 0;138;100;2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 14:33:36";="800000093";Montant lié à la majoration du parcours de soins vide ou à 0;3103;100;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:52:08";="600100713";Montant lié à la majoration du parcours de soins vide ou à 0;34908;100;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:59:24";="020000048";Montant lié à la majoration du parcours de soins vide ou à 0;400;100;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 15:42:32";="590782215";Montant lié à la majoration du parcours de soins vide ou à 0;69055;100;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 16:58:13";="620100685";Montant lié à la majoration du parcours de soins vide ou à 0;40188;100;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 18:53:37";="800000069";Montant lié à la majoration du parcours de soins vide ou à 0;3374;100;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/09/01 08:06:33";="020000071";Montant lié à la majoration du parcours de soins vide ou à 0;226;100;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 09:18:31";="600100721";Montant lié à la majoration du parcours de soins vide ou à 0;20887;100;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:15:02";="620100057";Montant lié à la majoration du parcours de soins vide ou à 0;30283;100;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:21:13";="600101984";Montant lié à la majoration du parcours de soins vide ou à 0;32436;100;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 13:07:43";="800000028";Montant lié à la majoration du parcours de soins vide ou à 0;15758;100;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 14:02:30";="590783239";Montant lié à la majoration du parcours de soins vide ou à 0;27554;100;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:12:51";="590785374";Montant lié à la majoration du parcours de soins vide ou à 0;4671;100;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:55:21";="020000063";Montant lié à la majoration du parcours de soins vide ou à 0;45090;100;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 18:26:55";="590000188";Montant lié à la majoration du parcours de soins vide ou à 0;49314;100;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/04 15:54:10";="620103432";Montant lié à la majoration du parcours de soins vide ou à 0;11936;100;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/05 09:23:38";="590782637";Montant lié à la majoration du parcours de soins vide ou à 0;12787;100;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 12:09:24";="590781803";Montant lié à la majoration du parcours de soins vide ou à 0;13279;100;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 17:40:49";="590780227";Montant lié à la majoration du parcours de soins vide ou à 0;14340;100;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:44:36";="800000044";Montant lié à la majoration du parcours de soins vide ou à 0;79564;100;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/07 20:00:56";="590781902";Montant lié à la majoration du parcours de soins vide ou à 0;18910;100;2023.7;X590781902;07SEP23;20:00:41
