"champ";"statut";"annee";"periode";"date du resultat";"ipe";diag;ponder;dms;dur_med;age_moy;age_med;pct_homme;pct_rea;pct_sc;pct_si;sej_rea;moy_rea;med_rea;moy_age;med_age;pct_homme_rea;ponder_dp;ponder_dr;ponder_da;lib;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:40:39";="590001749";U119;1;27;27;95;95;0;0;0;0;0;;;;;;0;0;1;U119   NÉCESSITÉ D'UNE VACCINATION CONTRE LA COVID-19, SAI;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:39";="590001749";Total;1;27;27;95;95;0;0;0;0;0;;;;;;0;0;1;Tous diagnostics;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:48";="590781670";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:51:03";="020000261";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:14:00";="620100651";U119;1;11;11;68;68;0;0;100;0;0;;;;;;0;0;1;U119   NÉCESSITÉ D'UNE VACCINATION CONTRE LA COVID-19, SAI;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:00";="620100651";U129;2;4.5;4.5;81;81;0;0;0;0;0;;;;;;0;0;2;U129   VACCINS ANTI-COVID-19 AYANT PROVOQUÉ EFFETS INDÉSIRABLES AU COURS LEUR USAGE TRAITEMENT, SAI;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:00";="620100651";Total;3;6.6666666667;8;76.666666667;68;0;0;33.333333333;0;0;;;;;;0;0;3;Tous diagnostics;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:40:23";="620027839";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:35:56";="590780284";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:43:00";="020000287";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:33:03";="590797353";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:29:47";="590782421";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:12:01";="800000051";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:21";="800000135";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:11:34";="590782165";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:39:35";="620101360";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:56:10";="590781662";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:04:57";="590781621";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:19:40";="590052056";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 16:34:57";="590781795";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:09";="620100677";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 10:37:50";="590781415";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:59";="620103440";U119;1;38;38;77;77;100;0;0;0;0;;;;;;0;0;1;U119   NÉCESSITÉ D'UNE VACCINATION CONTRE LA COVID-19, SAI;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:59";="620103440";Total;1;38;38;77;77;100;0;0;0;0;;;;;;0;0;1;Tous diagnostics;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:13:44";="800000085";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:48:36";="590780193";U119;2;28;28;56.5;56.5;0;0;0;0;0;;;;;;0;0;2;U119   NÉCESSITÉ D'UNE VACCINATION CONTRE LA COVID-19, SAI;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:48:36";="590780193";U129;3;7.6666666667;3;67.666666667;62;66.666666667;33.333333333;0;33.333333333;1;3;3;50;50;100;0;0;3;U129   VACCINS ANTI-COVID-19 AYANT PROVOQUÉ EFFETS INDÉSIRABLES AU COURS LEUR USAGE TRAITEMENT, SAI;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:48:36";="590780193";Total;5;15.8;7;63.2;57;40;20;0;20;1;3;3;50;50;100;0;0;5;Tous diagnostics;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:25:39";="020004404";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:25:59";="590781605";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:29:24";="590781811";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 14:34:01";="800000093";U129;1;18;18;81;81;0;0;0;0;0;;;;;;0;0;1;U129   VACCINS ANTI-COVID-19 AYANT PROVOQUÉ EFFETS INDÉSIRABLES AU COURS LEUR USAGE TRAITEMENT, SAI;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:34:01";="800000093";Total;1;18;18;81;81;0;0;0;0;0;;;;;;0;0;1;Tous diagnostics;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:53:05";="600100713";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:59:47";="020000048";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 15:43:32";="590782215";U119;1;5;5;93;93;0;0;0;0;0;;;;;;0;0;1;U119   NÉCESSITÉ D'UNE VACCINATION CONTRE LA COVID-19, SAI;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:32";="590782215";Total;1;5;5;93;93;0;0;0;0;0;;;;;;0;0;1;Tous diagnostics;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 16:59:10";="620100685";U119;1;0;0;60;60;100;0;0;0;0;;;;;;0;0;1;U119   NÉCESSITÉ D'UNE VACCINATION CONTRE LA COVID-19, SAI;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:10";="620100685";Total;1;0;0;60;60;100;0;0;0;0;;;;;;0;0;1;Tous diagnostics;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 18:53:59";="800000069";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/09/01 08:06:55";="020000071";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 09:18:59";="600100721";U129;1;0;0;66;66;0;0;0;0;0;;;;;;0;0;1;U129   VACCINS ANTI-COVID-19 AYANT PROVOQUÉ EFFETS INDÉSIRABLES AU COURS LEUR USAGE TRAITEMENT, SAI;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:18:59";="600100721";Total;1;0;0;66;66;0;0;0;0;0;;;;;;0;0;1;Tous diagnostics;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:15:54";="620100057";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:21:43";="600101984";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 13:08:08";="800000028";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 14:02:59";="590783239";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:13:13";="590785374";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:55:59";="020000063";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 18:27:24";="590000188";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/04 15:54:35";="620103432";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/05 09:24:02";="590782637";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 12:09:52";="590781803";U119;27;12.592592593;11;63.111111111;62;37.037037037;33.333333333;48.148148148;0;9;7.4444444444;6;56.888888889;50;33.333333333;0;0;27;U119   NÉCESSITÉ D'UNE VACCINATION CONTRE LA COVID-19, SAI;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:09:52";="590781803";Total;27;12.592592593;11;63.111111111;62;37.037037037;33.333333333;48.148148148;0;9;7.4444444444;6;56.888888889;50;33.333333333;0;0;27;Tous diagnostics;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 17:41:13";="590780227";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:45:13";="800000044";U119;8;0.625;0;63.25;65;37.5;0;0;0;0;;;;;;7;0;1;U119   NÉCESSITÉ D'UNE VACCINATION CONTRE LA COVID-19, SAI;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:13";="800000044";U129;2;2.5;2.5;53.5;53.5;0;0;0;0;0;;;;;;0;0;2;U129   VACCINS ANTI-COVID-19 AYANT PROVOQUÉ EFFETS INDÉSIRABLES AU COURS LEUR USAGE TRAITEMENT, SAI;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:13";="800000044";Total;9;1.1111111111;0;59.555555556;60;33.333333333;0;0;0;0;;;;;;7;0;2;Tous diagnostics;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/07 20:01:22";="590781902";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590781902;07SEP23;20:00:41
