"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;aff;acte2;nb_occur;ponder;ponder_cn;dms;pct_rea;pct_si;pct_sc;age_moy;age_med;pct_homme;pct_dp;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";ZZQP003 SURV. MÉD. TRANSPORT INTRAHOSPITALIER 1PATIENT VENTILÉ;0;ZZQP003;3;2;2;18;100;0;0;66;66;100;50;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";ZZQP001 SURV. MÉD. TRANSPORT INTRAHOSPITALIER 1PATIENT NON VENTILÉ;0;ZZQP001;4;2;2;25.5;100;0;0;73;73;50;50;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";EQQP011 SURV. CONTINUE PRESS. ART.+/- PVC EFFRACTIVES/24H;0;EQQP011;5;2;2;18;100;0;0;66;66;100;50;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";DEQP005 ECG SUR AU MOINS 2DÉRIV. +ENREG. CONTINU PDT AU MOINS/24H;0;DEQP005;6;2;2;33.5;100;0;50;65.5;65.5;50;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";JVJF005 HÉMODIALYSE H.FILTR CONT. PR IRA/24H;0;JVJF005;11;2;2;18;100;0;0;66;66;100;50;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:44";="020000253";Actes avec < 10 séjours;1;tt;75;25;25;27.08;100;0;8;71.12;72;72;28;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";GLHF001 GDS (PRÉLÈV+MESURES+PH) SANS ÉPREUVE HYPEROXIE;0;GLHF001;135;11;11;31.272727273;100;36.363636364;63.636363636;58.090909091;58;54.545454545;27.272727273;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";JRQP001 DÉBITMÉTRIE MICTIONNELLE;0;JRQP001;151;11;11;31.272727273;100;36.363636364;63.636363636;58.090909091;58;54.545454545;27.272727273;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";DEQP007 SCOPE/TÉLÉECG CONTINU +SURV. PRESS ART+/-SAO2 NON EFFRACTIVES/24H;0;DEQP007;174;10;10;31.5;100;40;70;57.6;58;50;20;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";GLQP005 SPO2 PDT AU MOINS 6H;0;GLQP005;179;10;10;31.5;100;40;70;57.6;58;50;20;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";DZQM005 DOPPLER COEUR +DES VSSX INTRATHOR. AU LIT;0;DZQM005;17;9;9;34.666666667;100;33.333333333;44.444444444;49.333333333;57;44.444444444;22.222222222;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";ZBQK002 RX THOR.;0;ZBQK002;37;9;9;36.777777778;100;44.444444444;77.777777778;56.111111111;58;44.444444444;22.222222222;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";GELD005 AÉROSOL THÉRAP. BR. +SPO2+SURV. FC > 2H;0;GELD005;40;9;9;27.777777778;100;44.444444444;66.666666667;59.555555556;58;55.555555556;33.333333333;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";GLLD017 O2THÉR. +SURV. CONTINUE OXYMÉTRIE SF VENTIL/24H;0;GLLD017;61;9;9;27.777777778;100;44.444444444;66.666666667;59.555555556;58;55.555555556;33.333333333;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";EPLF002 POSE 1CATHÉ CTR TRANSCUT.;0;EPLF002;8;7;7;37.571428571;100;42.857142857;71.428571429;61.571428571;63;57.142857143;28.571428571;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";GLQF001 RÉGLAGE O2THÉR. GAZOM. RÉPÉTÉES/24H;0;GLQF001;58;7;7;29.857142857;100;28.571428571;71.428571429;60.571428571;63;42.857142857;14.285714286;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";DEQP004 SCOPE/TÉLÉECG CONTINU/24H;0;DEQP004;81;7;7;27.142857143;100;28.571428571;57.142857143;58.142857143;63;42.857142857;14.285714286;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";ENLF001 POSE DISPOSITIF ART. SURV. PRESSION ART.;0;ENLF001;8;6;6;37.5;100;50;66.666666667;60.5;60.5;50;33.333333333;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";EQLF002 PERF REMPLISSAGE DÉBIT >50ML/KG/24H CHEZ ADULTE;0;EQLF002;8;6;6;39;100;33.333333333;50;54;59;50;16.666666667;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";ZBQK001 SCAN. THOR. SANS INJ. IV PROD. CONTRASTE;0;ZBQK001;9;6;6;31;100;33.333333333;66.666666667;61.5;60.5;83.333333333;50;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";GLLD015 VENTIL. TRACH. +PEP < 6+FIO2 < 60%/24H;0;GLLD015;37;6;6;38;100;50;66.666666667;56.833333333;60;33.333333333;16.666666667;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";GLLD008 VENTIL. TRACH. +PEP SUP. À 6+/- FIO2 SUP. À 60%/24H;0;GLLD008;69;6;6;45.666666667;100;66.666666667;83.333333333;64.833333333;65;33.333333333;16.666666667;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";AAQP006 EEG 8 DÉRIV / > DURÉE 1 À 4 H + ENREG VIDÉO;0;AAQP006;7;4;4;38.75;100;50;75;59.75;60;25;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";ZZQP004 RESTITUTION 3D DES IMAGES ACQUISES SCAN.;0;ZZQP004;7;4;4;51;100;50;75;57;59;25;25;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";GLLD019 VENTIL. NON INVASIVE MASQUE CUMUL. 2H/12H PR INSUF. RESP. AIG.;0;GLLD019;14;4;4;34.75;100;50;50;60.75;60.5;75;75;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";DEQP003 ECG SUR AU MOINS 12DÉRIV.;0;DEQP003;3;3;3;41.666666667;100;0;100;63;63;66.666666667;33.333333333;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";ECQH010 SCAN. DES VSSX THOR. +/- COEUR;0;ECQH010;3;3;3;44;100;33.333333333;66.666666667;54.333333333;55;100;33.333333333;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";GELD004 INTUB.;0;GELD004;3;3;3;42;100;66.666666667;100;60;57;66.666666667;33.333333333;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";GEQE009 FIBRO BR. +LBA CHEZ INTUBÉ/TRACHÉOTOMISÉ;0;GEQE009;3;3;3;63.333333333;100;33.333333333;100;62;63;66.666666667;33.333333333;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";ACQK001 SCAN. CRÂNE;0;ACQK001;4;3;3;24;100;66.666666667;100;64.666666667;58;33.333333333;33.333333333;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";EQLF003 DOBU/DOPA CONTINUE DÉBIT >8µG/KG/MN /ADRÉNALINE/N.ADRÉN SF NÉONAT /24H;0;EQLF003;11;3;3;42;100;33.333333333;100;62.666666667;63;33.333333333;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";GLLD003 VENTIL. SPONTANÉE MASQUE/CANULE SANS AIDE INSPIRATOIRE +PEP/24H;0;GLLD003;50;3;3;63;100;33.333333333;66.666666667;39.333333333;55;33.333333333;33.333333333;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";EQQP011 SURV. CONTINUE PRESS. ART.+/- PVC EFFRACTIVES/24H;0;EQQP011;53;3;3;36;100;33.333333333;66.666666667;62.666666667;63;33.333333333;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";DZQM006 DOPPLER COEUR +DES VSSX INTRATHOR.;0;DZQM006;2;2;2;30;100;50;100;68.5;68.5;50;50;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";JDLD001 POSE 1SONDE UR.VÉSIC;0;JDLD001;2;2;2;30.5;100;50;50;67.5;67.5;50;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";FELF011 TRANSFU. CG 1<1/2MASSE;0;FELF011;11;2;2;39.5;100;0;50;47;47;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:02";="620101337";Actes avec < 10 séjours;1;tt;138;47;47;42.446808511;100;40.425531915;63.829787234;56.829787234;63;44.680851064;25.531914894;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/29 13:05:31";="620000026";ECQH010 SCAN. DES VSSX THOR. +/- COEUR;0;ECQH010;1;1;1;3;100;0;0;71;71;0;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:31";="620000026";EPLF002 POSE 1CATHÉ CTR TRANSCUT.;0;EPLF002;1;1;1;3;100;0;0;71;71;0;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:31";="620000026";GLLD007 VENTIL. À POUMONS SÉPARÉS/24H;0;GLLD007;1;1;1;3;100;0;0;71;71;0;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:31";="620000026";ZZQP001 SURV. MÉD. TRANSPORT INTRAHOSPITALIER 1PATIENT NON VENTILÉ;0;ZZQP001;1;1;1;3;100;0;0;71;71;0;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:31";="620000026";DEQP007 SCOPE/TÉLÉECG CONTINU +SURV. PRESS ART+/-SAO2 NON EFFRACTIVES/24H;0;DEQP007;4;1;1;3;100;0;0;71;71;0;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";EQQP011 SURV. CONTINUE PRESS. ART.+/- PVC EFFRACTIVES/24H;0;EQQP011;161;11;11;26.545454545;100;9.0909090909;18.181818182;67;68;63.636363636;36.363636364;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";DEQP007 SCOPE/TÉLÉECG CONTINU +SURV. PRESS ART+/-SAO2 NON EFFRACTIVES/24H;0;DEQP007;166;11;11;26.545454545;100;9.0909090909;18.181818182;67;68;63.636363636;36.363636364;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";ZBQK002 RX THOR.;0;ZBQK002;50;10;10;24.8;100;10;20;64.9;65;60;40;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";ZZQH033 SCAN. 3 TERRIT ANAT / PLUS + INJECT PROD CONTRAST;0;ZZQH033;9;7;7;26.285714286;100;14.285714286;0;63.285714286;62;71.428571429;14.285714286;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";GLLD017 O2THÉR. +SURV. CONTINUE OXYMÉTRIE SF VENTIL/24H;0;GLLD017;39;7;7;36.142857143;100;14.285714286;14.285714286;65.571428571;62;57.142857143;28.571428571;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";GLHF001 GDS (PRÉLÈV+MESURES+PH) SANS ÉPREUVE HYPEROXIE;0;GLHF001;29;6;6;34.333333333;100;16.666666667;16.666666667;61.5;59.5;66.666666667;16.666666667;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";ECQH010 SCAN. DES VSSX THOR. +/- COEUR;0;ECQH010;7;5;5;26.4;100;20;40;72.4;74;60;60;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";GLLD019 VENTIL. NON INVASIVE MASQUE CUMUL. 2H/12H PR INSUF. RESP. AIG.;0;GLLD019;19;5;5;12.8;100;20;20;67;68;60;60;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";EPLF002 POSE 1CATHÉ CTR TRANSCUT.;0;EPLF002;4;4;4;26.5;100;25;25;65;65;50;25;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";DEQP003 ECG SUR AU MOINS 12DÉRIV.;0;DEQP003;7;4;4;35;100;25;0;71.5;71.5;75;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";ENLF001 POSE DISPOSITIF ART. SURV. PRESSION ART.;0;ENLF001;3;3;3;17;100;33.333333333;0;67.666666667;68;66.666666667;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";EPLF005 POSE 1CATHÉ CTR NON TUNNELLISÉ PR CEC TRANSCUT.;0;EPLF005;3;3;3;17;100;33.333333333;0;67.666666667;68;66.666666667;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";ZCQH001 SCAN. ABD. +PELVIS +INJECT IV;0;ZCQH001;3;3;3;38.666666667;100;0;66.666666667;61.666666667;57;66.666666667;66.666666667;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";GLLD008 VENTIL. TRACH. +PEP SUP. À 6+/- FIO2 SUP. À 60%/24H;0;GLLD008;5;3;3;45.666666667;100;0;33.333333333;57.666666667;57;33.333333333;33.333333333;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";JVJF005 HÉMODIALYSE H.FILTR CONT. PR IRA/24H;0;JVJF005;5;3;3;27.333333333;100;0;33.333333333;64;62;33.333333333;33.333333333;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";GLLD004 VENTIL. TRACH +PEP>6 +/-FIO2 >60% +DÉCUBITUS VENTRAL ALTERNÉ/24H;0;GLLD004;7;3;3;33.333333333;100;0;33.333333333;61.666666667;57;66.666666667;33.333333333;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";GELD005 AÉROSOL THÉRAP. BR. +SPO2+SURV. FC > 2H;0;GELD005;14;3;3;35.333333333;100;33.333333333;0;61.333333333;62;66.666666667;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";EQLF003 DOBU/DOPA CONTINUE DÉBIT >8µG/KG/MN /ADRÉNALINE/N.ADRÉN SF NÉONAT /24H;0;EQLF003;16;3;3;41.666666667;100;0;33.333333333;58;57;33.333333333;33.333333333;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";GLLD003 VENTIL. SPONTANÉE MASQUE/CANULE SANS AIDE INSPIRATOIRE +PEP/24H;0;GLLD003;17;3;3;28;100;33.333333333;66.666666667;66.333333333;68;66.666666667;66.666666667;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";GLLD015 VENTIL. TRACH. +PEP < 6+FIO2 < 60%/24H;0;GLLD015;27;3;3;29;100;0;0;57.333333333;56;66.666666667;33.333333333;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";AAQP003 SURV. EEG CONTINUE SANS VIDÉO/24H;0;AAQP003;2;2;2;41;100;0;0;58;58;50;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";EZQM001 DOPPLER 1FAV PR CEC;0;EZQM001;2;2;2;40.5;100;0;50;59.5;59.5;0;50;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";HJQE001 COLO.;0;HJQE001;2;2;2;50;100;0;0;54.5;54.5;100;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";HSLF002 ALIMT PARENTÉRALE 20-35CAL/KG/J/24H;0;HSLF002;2;2;2;50;100;0;0;54.5;54.5;100;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";HZHE002 BIOPSIE PAROI TUBE DIG/VB PDT 1ENDOS. DIAG.;0;HZHE002;2;2;2;41;100;0;0;58;58;50;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";ZZQP003 SURV. MÉD. TRANSPORT INTRAHOSPITALIER 1PATIENT VENTILÉ;0;ZZQP003;2;2;2;28.5;100;0;0;63.5;63.5;100;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";FEHB001 PRÉLÈV. SANG ART. TRANSCUT.;0;FEHB001;3;2;2;24;100;0;0;81.5;81.5;50;50;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";ZZQP001 SURV. MÉD. TRANSPORT INTRAHOSPITALIER 1PATIENT NON VENTILÉ;0;ZZQP001;3;2;2;39.5;100;50;50;62.5;62.5;50;50;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";DZQM005 DOPPLER COEUR +DES VSSX INTRATHOR. AU LIT;0;DZQM005;5;2;2;34;100;50;0;61.5;61.5;100;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";HSLD001 ALIMT ENTÉR. SONDE 20-35CAL/KG/J/24H;0;HSLD001;16;2;2;40;100;50;0;61;61;100;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:59";="020000261";Actes avec < 10 séjours;1;tt;48;29;29;34.689655172;100;13.793103448;17.24137931;65.689655172;62;65.517241379;17.24137931;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:55";="620100651";DEQP003 ECG SUR AU MOINS 12DÉRIV.;0;DEQP003;64;21;21;26.428571429;100;9.5238095238;9.5238095238;65.095238095;70;61.904761905;33.333333333;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:55";="620100651";ZBQK002 RX THOR.;0;ZBQK002;132;21;21;26.666666667;100;9.5238095238;9.5238095238;67.80952381;71;66.666666667;28.571428571;2023.7;X620100651;29AUG23;16:13:10
