"champ";"statut";"annee";"periode";"date du resultat";"ipe";motif_nonf;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 09:28:27";="590782652";1 Patient AME;1;0.8771929825;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:27";="590782652";2 Patient sous convention internationale;88;77.192982456;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:27";="590782652";3 Patient payant;10;8.7719298246;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:27";="590782652";4 Patient pris en charge dans le cadre du dispositif des soins urgents;1;0.8771929825;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:27";="590782652";9 Autre situation;14;12.280701754;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:41";="590780052";.;;;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:28";="600100648";1 Patient AME;12;57.142857143;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:28";="600100648";3 Patient payant;1;4.7619047619;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:28";="600100648";9 Autre situation;8;38.095238095;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:16";="620000026";1 Patient AME;3;3.2967032967;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:16";="620000026";2 Patient sous convention internationale;19;20.879120879;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:16";="620000026";3 Patient payant;5;5.4945054945;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:16";="620000026";5 Patient hospitalisé dans un autre établissement;2;2.1978021978;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:16";="620000026";9 Autre situation;62;68.131868132;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:23:10";="590065223";.;;;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 14:21:11";="620003350";1 Patient AME;1;5.8823529412;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:11";="620003350";2 Patient sous convention internationale;4;23.529411765;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:11";="620003350";3 Patient payant;6;35.294117647;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:11";="620003350";5 Patient hospitalisé dans un autre établissement;5;29.411764706;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:11";="620003350";9 Autre situation;1;5.8823529412;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:13";="590000600";2 Patient sous convention internationale;10;76.923076923;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:13";="590000600";9 Autre situation;3;23.076923077;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:24:47";="620025346";1 Patient AME;2;3.5714285714;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:47";="620025346";2 Patient sous convention internationale;1;1.7857142857;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:47";="620025346";3 Patient payant;8;14.285714286;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:47";="620025346";5 Patient hospitalisé dans un autre établissement;2;3.5714285714;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:47";="620025346";9 Autre situation;43;76.785714286;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:19";="590001749";1 Patient AME;2;15.384615385;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:19";="590001749";2 Patient sous convention internationale;1;7.6923076923;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:19";="590001749";3 Patient payant;3;23.076923077;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:19";="590001749";4 Patient pris en charge dans le cadre du dispositif des soins urgents;2;15.384615385;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:19";="590001749";9 Autre situation;5;38.461538462;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:29";="590781670";.;;;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:50:38";="020000261";1 Patient AME;135;30.066815145;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:38";="020000261";2 Patient sous convention internationale;15;3.3407572383;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:38";="020000261";3 Patient payant;53;11.804008909;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:38";="020000261";4 Patient pris en charge dans le cadre du dispositif des soins urgents;33;7.3496659243;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:38";="020000261";9 Autre situation;213;47.438752784;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:31";="620100651";1 Patient AME;48;27.74566474;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:31";="620100651";2 Patient sous convention internationale;24;13.87283237;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:31";="620100651";3 Patient payant;23;13.294797688;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:31";="620100651";4 Patient pris en charge dans le cadre du dispositif des soins urgents;1;0.5780346821;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:31";="620100651";5 Patient hospitalisé dans un autre établissement;9;5.2023121387;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:31";="620100651";9 Autre situation;68;39.306358382;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:40:01";="620027839";3 Patient payant;1;100;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:35:30";="590780284";1 Patient AME;54;36.734693878;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:30";="590780284";2 Patient sous convention internationale;12;8.1632653061;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:30";="590780284";3 Patient payant;14;9.5238095238;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:30";="590780284";4 Patient pris en charge dans le cadre du dispositif des soins urgents;7;4.7619047619;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:30";="590780284";9 Autre situation;60;40.816326531;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:42:35";="020000287";1 Patient AME;3;11.111111111;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:35";="020000287";2 Patient sous convention internationale;4;14.814814815;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:35";="020000287";3 Patient payant;4;14.814814815;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:35";="020000287";4 Patient pris en charge dans le cadre du dispositif des soins urgents;3;11.111111111;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:35";="020000287";9 Autre situation;13;48.148148148;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:32:32";="590797353";1 Patient AME;272;50.463821892;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:32";="590797353";2 Patient sous convention internationale;22;4.0816326531;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:32";="590797353";3 Patient payant;165;30.612244898;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:32";="590797353";4 Patient pris en charge dans le cadre du dispositif des soins urgents;34;6.3079777365;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:32";="590797353";9 Autre situation;46;8.53432282;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:29:13";="590782421";1 Patient AME;493;38.727415554;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:13";="590782421";2 Patient sous convention internationale;470;36.920659859;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:13";="590782421";3 Patient payant;123;9.6622152396;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:13";="590782421";4 Patient pris en charge dans le cadre du dispositif des soins urgents;25;1.9638648861;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:13";="590782421";5 Patient hospitalisé dans un autre établissement;6;0.4713275727;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:13";="590782421";9 Autre situation;156;12.254516889;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:11:34";="800000051";.;;;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:01";="800000135";2 Patient sous convention internationale;1;100;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:11:07";="590782165";1 Patient AME;23;23;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:07";="590782165";2 Patient sous convention internationale;48;48;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:07";="590782165";3 Patient payant;16;16;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:07";="590782165";4 Patient pris en charge dans le cadre du dispositif des soins urgents;2;2;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:07";="590782165";9 Autre situation;11;11;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:39:04";="620101360";1 Patient AME;17;12.142857143;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:04";="620101360";2 Patient sous convention internationale;39;27.857142857;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:04";="620101360";3 Patient payant;7;5;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:04";="620101360";4 Patient pris en charge dans le cadre du dispositif des soins urgents;1;0.7142857143;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:04";="620101360";9 Autre situation;76;54.285714286;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:55:43";="590781662";1 Patient AME;17;32.692307692;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:55:43";="590781662";2 Patient sous convention internationale;14;26.923076923;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:55:43";="590781662";9 Autre situation;21;40.384615385;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:04:30";="590781621";1 Patient AME;3;37.5;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:04:30";="590781621";3 Patient payant;2;25;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:04:30";="590781621";9 Autre situation;3;37.5;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:19:18";="590052056";1 Patient AME;3;2.4390243902;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:18";="590052056";3 Patient payant;4;3.2520325203;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:18";="590052056";9 Autre situation;116;94.308943089;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 16:33:51";="590781795";2 Patient sous convention internationale;3;75;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/30 16:33:51";="590781795";9 Autre situation;1;25;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/31 09:36:47";="620100677";2 Patient sous convention internationale;2;50;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:36:47";="620100677";9 Autre situation;2;50;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 10:37:20";="590781415";1 Patient AME;80;15.81027668;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:20";="590781415";2 Patient sous convention internationale;240;47.43083004;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:20";="590781415";3 Patient payant;18;3.557312253;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:20";="590781415";4 Patient pris en charge dans le cadre du dispositif des soins urgents;48;9.4861660079;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:20";="590781415";5 Patient hospitalisé dans un autre établissement;2;0.395256917;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:20";="590781415";9 Autre situation;118;23.320158103;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:21";="620103440";1 Patient AME;192;35.489833641;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:21";="620103440";2 Patient sous convention internationale;82;15.157116451;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:21";="620103440";3 Patient payant;16;2.9574861368;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:21";="620103440";4 Patient pris en charge dans le cadre du dispositif des soins urgents;26;4.8059149723;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:21";="620103440";5 Patient hospitalisé dans un autre établissement;2;0.3696857671;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:21";="620103440";9 Autre situation;223;41.219963031;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:13:22";="800000085";1 Patient AME;2;22.222222222;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:22";="800000085";3 Patient payant;1;11.111111111;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:22";="800000085";9 Autre situation;6;66.666666667;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:46:49";="590780193";1 Patient AME;766;17.76025968;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:49";="590780193";2 Patient sous convention internationale;863;20.009274287;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:49";="590780193";3 Patient payant;1325;30.721075817;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:49";="590780193";4 Patient pris en charge dans le cadre du dispositif des soins urgents;212;4.9153721308;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:49";="590780193";5 Patient hospitalisé dans un autre établissement;1025;23.765360538;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:49";="590780193";9 Autre situation;122;2.828657547;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:24:56";="020004404";1 Patient AME;39;26.174496644;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:24:56";="020004404";2 Patient sous convention internationale;6;4.0268456376;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:24:56";="020004404";3 Patient payant;55;36.912751678;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:24:56";="020004404";9 Autre situation;49;32.88590604;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:25:30";="590781605";1 Patient AME;31;24.8;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:25:30";="590781605";2 Patient sous convention internationale;19;15.2;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:25:30";="590781605";3 Patient payant;14;11.2;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:25:30";="590781605";9 Autre situation;61;48.8;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:29:05";="590781811";2 Patient sous convention internationale;3;100;2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 14:33:37";="800000093";2 Patient sous convention internationale;7;25;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:33:37";="800000093";3 Patient payant;8;28.571428571;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:33:37";="800000093";4 Patient pris en charge dans le cadre du dispositif des soins urgents;1;3.5714285714;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:33:37";="800000093";5 Patient hospitalisé dans un autre établissement;7;25;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:33:37";="800000093";9 Autre situation;5;17.857142857;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:52:09";="600100713";1 Patient AME;103;42.916666667;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:52:09";="600100713";2 Patient sous convention internationale;8;3.3333333333;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:52:09";="600100713";3 Patient payant;24;10;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:52:09";="600100713";4 Patient pris en charge dans le cadre du dispositif des soins urgents;18;7.5;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:52:09";="600100713";5 Patient hospitalisé dans un autre établissement;1;0.4166666667;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:52:09";="600100713";9 Autre situation;86;35.833333333;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:59:25";="020000048";.;;;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 15:42:33";="590782215";1 Patient AME;102;9.2643051771;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:33";="590782215";2 Patient sous convention internationale;568;51.589464124;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:33";="590782215";3 Patient payant;64;5.812897366;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:33";="590782215";4 Patient pris en charge dans le cadre du dispositif des soins urgents;3;0.272479564;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:33";="590782215";5 Patient hospitalisé dans un autre établissement;13;1.1807447775;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:33";="590782215";9 Autre situation;351;31.880108992;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 16:58:14";="620100685";1 Patient AME;44;6.5088757396;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:58:14";="620100685";2 Patient sous convention internationale;44;6.5088757396;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:58:14";="620100685";3 Patient payant;25;3.6982248521;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:58:14";="620100685";4 Patient pris en charge dans le cadre du dispositif des soins urgents;12;1.775147929;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:58:14";="620100685";5 Patient hospitalisé dans un autre établissement;483;71.449704142;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:58:14";="620100685";9 Autre situation;68;10.059171598;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 18:53:37";="800000069";1 Patient AME;4;14.814814815;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/08/31 18:53:37";="800000069";2 Patient sous convention internationale;19;70.37037037;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/08/31 18:53:37";="800000069";9 Autre situation;4;14.814814815;2023.7;X800000069;31AUG23;18:53:23
