"champ";"statut";"annee";"periode";"date du resultat";"ipe";finess_esms;rai_soc;type_etab;code_cat;ehpad;type_lieu;codefs;date_deb;date_fin;date_fin1;indic;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590047023;EHPAD LES JARDINS DES SENS;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;20/07/2016;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590047858;FAM ABEJ CAPINGHEM;21;437 Foyer d'Accueil Médicalisé pour Adultes Handicapés (F.A.M.);0;4;1;01/01/2020;;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590048039;EHPAD ISABEAU DE ROUBAIX;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;01/01/2019;31/12/2030;06/06/2179;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590055406;RÉSIDENCE LES COTONNIÈRES LOOS;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;23/03/2022;31/12/2050;31/12/2030;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590057006;EHPAD LA RITOURNELLE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;01/06/2017;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590782793;EHPAD FONDATION H. DELERUE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;21/05/2015;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590782926;EHPAD LA ROSEMAY;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;02/12/2016;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590783247;EHPAD LES JARDINS ARGENTES;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;18/10/2019;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590783296;EHPAD ALBERT DU BOSQUIEL;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;01/01/2019;31/12/2030;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590783411;EHPAD L'OREE DU MONT;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;28/03/2018;31/12/2050;31/12/2030;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590783502;EHPAD RESIDENCE LA BELLE EPOQUE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;06/03/2018;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590783510;EHPAD RESIDENCE LA FLEUR DE L'AGE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;20/08/2021;;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590783536;EHPAD LES LYS BLANCS;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;27/09/2012;31/12/2050;06/06/2179;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590783544;MAISON DE RETRAITE LA COLOMBE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;02/11/2012;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590783551;EHPAD RESIDENCE DE LA VIGNE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;23/05/2016;31/12/2030;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590783619;EHPAD RESIDENCE OBERT;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;25/07/2016;31/12/2050;31/12/2030;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590783635;EHPAD RESIDENCE LE GOLF;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;16/01/2017;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590783965;EHPAD RESIDENCE DU MOULIN D'ASCQ;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;04/04/2011;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590785721;EHPAD L'ACCUEIL;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;23/02/2009;31/12/2018;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590785721;EHPAD L'ACCUEIL;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;01/01/2019;31/12/2050;31/12/2018;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590785739;RESIDENCE LA ROSERAIE;17;202 Résidences autonomie;0;5;1;01/01/2018;01/01/2018;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590785739;RESIDENCE LA ROSERAIE;19;202 Résidences autonomie;0;5;0;02/01/2018;31/12/2050;01/01/2018;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590787966;EHPAD LES MAISONS BLEUES;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;09/01/2017;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590788030;EHPAD LES BRUYERES;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;31/03/2015;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590788352;EHPAD TEMPS DE VIE ST-ANDRÉ-LEZ-LILLE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;03/05/2014;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590788683;EHPAD ST ANTOINE DE PADOUE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;29/08/2011;31/12/2017;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590788683;EHPAD ST ANTOINE DE PADOUE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;01/01/2018;31/12/2050;31/12/2017;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590788774;EHPAD LA POTENNERIE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;05/10/2013;31/12/2030;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590789848;EHPAD FOYER LOG RESIDENCE VANDEVANNET;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;01/01/2019;;31/12/2030;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590789897;EHPAD STE GENEVIEVE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;07/06/2011;31/12/2050;06/06/2179;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590789962;RESIDENCE EHPAD LES MARRONNIERS;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;08/07/2014;31/12/2018;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590789962;RESIDENCE EHPAD LES MARRONNIERS;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;01/01/2019;31/12/2050;31/12/2018;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590790002;EHPAD RESIDENCE LE BOSQUET;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;19/02/2016;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590790010;EHPAD NOTRE DAME DES ANGES;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;27/01/2014;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590790036;EHPAD SAINT-JOSEPH;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;01/01/2020;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590790069;EHPAD RESIDENCE LES BUISSONNETS;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;11/09/2015;31/12/2030;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590790127;EHPAD KORIAN GAMBETTA;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;27/08/2012;31/12/2050;31/12/2030;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590791042;EHPAD MA MAISON;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;11/04/2013;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590792024;EHPAD TEMPS DE VIE LESQUIN;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;28/01/2016;31/12/2030;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590792610;SSIAD VILLENEUVE D'ASCQ;33;354 Service de Soins Infirmiers A Domicile (S.S.I.A.D);0;6;0;01/01/2020;31/12/2050;31/12/2030;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590792669;SSIAD DE MARQUETTE-LEZ-LILLE;33;354 Service de Soins Infirmiers A Domicile (S.S.I.A.D);0;6;0;01/01/2020;;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590794160;SSIAD DE WATTRELOS;33;354 Service de Soins Infirmiers A Domicile (S.S.I.A.D);0;6;0;18/12/2019;;06/06/2179;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590794962;SSIAD;33;354 Service de Soins Infirmiers A Domicile (S.S.I.A.D);0;6;0;01/01/2020;;06/06/2179;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590797171;EHPAD RESIDENCE DES FLANDRES;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;09/02/2017;31/12/2050;06/06/2179;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590799235;SSIAD DE LA MADELEINE;33;354 Service de Soins Infirmiers A Domicile (S.S.I.A.D);0;6;0;01/01/2019;;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590799557;RS FJT  ARCADIS ROUBAIX;29;257 Foyer de Jeunes Travailleurs (résidence sociale ou non);0;5;0;01/01/2020;;06/06/2179;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590801379;SSIAD FLEURS DE LA LYS;33;354 Service de Soins Infirmiers A Domicile (S.S.I.A.D);0;6;0;01/10/2018;31/12/2030;06/06/2179;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590804613;CLOS SAINT JEAN;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;18/09/2018;31/12/2050;31/12/2030;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590806576;EHPAD LA SABOTIERE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;01/01/2021;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590806592;EHPAD NATALIE DOIGNIES;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;21/09/2015;31/12/2030;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590807723;SSIAD DE RONCHIN;33;354 Service de Soins Infirmiers A Domicile (S.S.I.A.D);0;6;0;01/01/2020;;31/12/2030;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590809067;EHPAD KORIAN LES MARQUISES;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;01/03/2017;31/12/2050;06/06/2179;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590811329;EHPAD LES ORCHIDEES CROIX;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;21/04/2016;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590813523;EHPAD RESIDENCE GEORGES DELFOSSE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;24/08/2010;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590814315;PUV TEMPS DE VIE LILLE DOUDIN;19;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;5;0;01/01/2019;;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590814380;EHPAD SAINT JEAN;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;23/04/2013;31/12/2050;06/06/2179;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590815049;EHPAD DOMAINE DES TUILLERIES;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;20/10/2010;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590815882;EHPAD LES ORCHIDEES ROUBAIX;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;22/10/2012;31/12/2018;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590815882;EHPAD LES ORCHIDEES ROUBAIX;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;01/01/2019;31/12/2050;31/12/2018;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590815957;EHPAD RESIDENCE SERVICE EDILYS;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;21/04/2013;23/04/2013;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590815957;EHPAD RESIDENCE SERVICE EDILYS;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;24/04/2013;31/12/2050;23/04/2013;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590816286;EHPAD L ARCHE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;30/07/2017;30/07/2017;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590816286;EHPAD L ARCHE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;31/07/2017;31/12/2050;30/07/2017;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:57";="590048476";590816708;EHPAD SOLEIL D'AUTOMNE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;11/09/2015;31/12/2050;31/12/2050;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:40";="590780193";590008777;SSIAD DE  GONDECOURT;33;354 Service de Soins Infirmiers A Domicile (S.S.I.A.D);0;6;0;01/01/2019;31/12/2022;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:40";="590780193";590035945;EHPAD RESIDENCE LA GOELETTE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;0;01/01/2022;31/12/2023;31/12/2022;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:40";="590780193";590048021;EHPAD LES BATELIERS CHU DE LILLE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;01/01/2012;31/12/2022;31/12/2023;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:40";="590780193";590792628;SSIAD DELTA LILLE;33;354 Service de Soins Infirmiers A Domicile (S.S.I.A.D);0;6;0;01/01/2018;31/12/2022;31/12/2022;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:34";="590782652";590006110;SSIAD D'HAZEBROUCK;33;354 Service de Soins Infirmiers A Domicile (S.S.I.A.D);0;6;0;29/06/2018;;;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:34";="590782652";590031068;FOYER DE VIE PR PERS HANDICAPEES VIEIL;22;382 Foyer de Vie pour Adultes Handicapés;0;5;0;03/12/2013;;06/06/2179;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:34";="590782652";590054060;FOYER DE PROJETS DE VIE;21;449 Etab.Accueil Non Médicalisé pour personnes handicapées;0;4;1;05/04/2018;;06/06/2179;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:34";="590782652";590782702;EHPAD RESIDENCE DELIOT;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;04/02/2009;;06/06/2179;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:34";="590782652";590782744;EHPAD BARONNIE DU VAL DE LYS;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;12/12/2006;;06/06/2179;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:34";="590782652";590782751;EHPAD LES CHARMILLES;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;20/01/2007;;06/06/2179;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:34";="590782652";590782777;EHPAD RESIDENCE PONT BERTIN;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;20/02/2015;;06/06/2179;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:34";="590782652";590782785;EHPAD RESIDENCE DE  BEAUPRE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;24/03/2010;;06/06/2179;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:34";="590782652";590782793;EHPAD FONDATION H. DELERUE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;21/11/2006;;06/06/2179;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:34";="590782652";590782801;EHPAD LEON DUHAMEL;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;23/01/2007;;06/06/2179;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:34";="590782652";590782819;EHPAD RESIDENCE L'AUBEPINE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;07/12/2007;;06/06/2179;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:34";="590782652";590782827;EHPAD LIEVIN PETITPREZ;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;23/10/2006;;06/06/2179;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:34";="590782652";590782835;EHPAD RESIDENCE MARGUERITE DE FLANDRE;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;01/12/2006;;06/06/2179;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:34";="590782652";590782843;EHPAD LES MYOSOTIS;17;500 Etablissement d'hébergement pour personnes âgées dépendantes;1;3;1;01/11/2008;;06/06/2179;;2022.11;X590782652;29DEC22;12:11:02
