"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;nb;noligne;nb1;evol;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Durée moyenne des séjours terminés;9.625;16;26.428571429;-63.58108108;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb moyen de séjours par patient (1);1.125;17;1;12.5;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:20";="590048476";Nombre de RAPSS transmis;572;1;505;13.267326733;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:20";="590048476";Nb de journées de prise en charge;3995;2;4000;-0.125;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:20";="590048476";Dont nombre de journées prise en charge en EHPAD;3555;3;3712;-4.229525862;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:20";="590048476";Dont nombre de journées prise en charge en EMS hors EHPAD;40;4;20;100;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:20";="590048476";Dont nombre de journées prise en charge en ES;9;5;25;-64;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:20";="590048476";Dont nombre de journées prise en charge en SSIAD/SPASAD;391;6;243;60.905349794;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:20";="590048476";Nb de séquences terminées dans la période;454;7;384;18.229166667;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:20";="590048476";Nb de séquences non terminées dans la période;9;8;12;-25;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:20";="590048476";Nb de séjours terminés dans la période;330;9;321;2.8037383178;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:20";="590048476";Nb de séjours non terminés dans la période;9;10;12;-25;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:20";="590048476";Nb de patients (1);318;11;303;4.9504950495;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:20";="590048476";Nb moyen de modes de prise en charge associés;1.0087412587;12;1;0.8741258741;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:20";="590048476";Nb moyen de diagnostics (DCMPP, DCMPA, DA);3.3111888112;13;3.1900990099;3.7958007232;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:20";="590048476";Durée moyenne des sous-séquences;6.9842657343;14;7.9207920792;-11.8236451;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:20";="590048476";Durée moyenne des séquences terminées;9.0286343612;15;9.9817708333;-9.548771335;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:20";="590048476";Durée moyenne des séjours terminés;12.745454545;16;11.99376947;6.26729634;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:20";="590048476";Nb moyen de séjours par patient (1);1.0691823899;17;1.099009901;-2.71403479;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";Nombre de RAPSS transmis;28;1;37;-24.32432432;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";Nb de journées de prise en charge;48;2;695;-93.09352518;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";Dont nombre de journées prise en charge en EHPAD;34;3;168;-79.76190476;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";Dont nombre de journées prise en charge en EMS hors EHPAD;0;4;0;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";Dont nombre de journées prise en charge en ES;0;5;0;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";Dont nombre de journées prise en charge en SSIAD/SPASAD;14;6;527;-97.34345351;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";Nb de séquences terminées dans la période;28;7;30;-6.666666667;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";Nb de séquences non terminées dans la période;0;8;0;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";Nb de séjours terminés dans la période;24;9;25;-4;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";Nb de séjours non terminés dans la période;0;10;0;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";Nb de patients (1);17;11;18;-5.555555556;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";Nb moyen de modes de prise en charge associés;1.0357142857;12;1.027027027;0.8458646617;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";Nb moyen de diagnostics (DCMPP, DCMPA, DA);3.2857142857;13;5.3513513514;-38.6002886;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";Durée moyenne des sous-séquences;1.7142857143;14;18.783783784;-90.87358684;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";Durée moyenne des séquences terminées;1.7142857143;15;27.4;-93.74348279;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";Durée moyenne des séjours terminés;2;16;32.88;-93.91727494;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";Nb moyen de séjours par patient (1);1.4117647059;17;1.3888888889;1.6470588235;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";Nombre de RAPSS transmis;374;1;355;5.3521126761;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";Nb de journées de prise en charge;3045;2;2799;8.7888531618;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";Dont nombre de journées prise en charge en EHPAD;2253;3;1690;33.313609467;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";Dont nombre de journées prise en charge en EMS hors EHPAD;68;4;13;423.07692308;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";Dont nombre de journées prise en charge en ES;83;5;74;12.162162162;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";Dont nombre de journées prise en charge en SSIAD/SPASAD;641;6;1022;-37.27984344;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";Nb de séquences terminées dans la période;275;7;272;1.1029411765;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";Nb de séquences non terminées dans la période;10;8;5;100;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";Nb de séjours terminés dans la période;147;9;135;8.8888888889;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";Nb de séjours non terminés dans la période;10;10;6;66.666666667;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";Nb de patients (1);142;11;124;14.516129032;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";Nb moyen de modes de prise en charge associés;1.0374331551;12;1.0366197183;0.0784701232;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";Nb moyen de diagnostics (DCMPP, DCMPA, DA);7.1390374332;13;7.614084507;-6.239057019;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";Durée moyenne des sous-séquences;8.1417112299;14;7.8845070423;3.2621467178;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";Durée moyenne des séquences terminées;10.909090909;15;10.474264706;4.1513768786;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";Durée moyenne des séjours terminés;19.612244898;16;21.088888889;-7.001999957;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";Nb moyen de séjours par patient (1);1.1126760563;17;1.1451612903;-2.836738742;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:21";="600100713";Nombre de RAPSS transmis;100;1;55;81.818181818;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:21";="600100713";Nb de journées de prise en charge;851;2;457;86.214442013;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:21";="600100713";Dont nombre de journées prise en charge en EHPAD;666;3;293;127.30375427;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:21";="600100713";Dont nombre de journées prise en charge en EMS hors EHPAD;2;4;59;-96.61016949;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:21";="600100713";Dont nombre de journées prise en charge en ES;0;5;2;-100;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:21";="600100713";Dont nombre de journées prise en charge en SSIAD/SPASAD;183;6;103;77.669902913;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:21";="600100713";Nb de séquences terminées dans la période;97;7;55;76.363636364;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:21";="600100713";Nb de séquences non terminées dans la période;3;8;0;;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:21";="600100713";Nb de séjours terminés dans la période;87;9;47;85.106382979;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:21";="600100713";Nb de séjours non terminés dans la période;3;10;0;;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:21";="600100713";Nb de patients (1);78;11;45;73.333333333;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:21";="600100713";Nb moyen de modes de prise en charge associés;1.03;12;1.0181818182;1.1607142857;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:21";="600100713";Nb moyen de diagnostics (DCMPP, DCMPA, DA);2.02;13;2.6727272727;-24.42176871;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:21";="600100713";Durée moyenne des sous-séquences;8.51;14;8.3090909091;2.4179431072;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:21";="600100713";Durée moyenne des séquences terminées;9.9484536082;15;8.3090909091;19.72974802;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:21";="600100713";Durée moyenne des séjours terminés;11.091954023;16;9.3829787234;18.213568952;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:21";="600100713";Nb moyen de séjours par patient (1);1.141025641;17;1.0666666667;6.9711538462;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:32";="600100721";Nombre de RAPSS transmis;25;1;38;-34.21052632;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:32";="600100721";Nb de journées de prise en charge;316;2;493;-35.90263692;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:32";="600100721";Dont nombre de journées prise en charge en EHPAD;316;3;493;-35.90263692;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:32";="600100721";Dont nombre de journées prise en charge en EMS hors EHPAD;0;4;0;;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:32";="600100721";Dont nombre de journées prise en charge en ES;0;5;0;;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:32";="600100721";Dont nombre de journées prise en charge en SSIAD/SPASAD;0;6;0;;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:32";="600100721";Nb de séquences terminées dans la période;18;7;26;-30.76923077;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:32";="600100721";Nb de séquences non terminées dans la période;0;8;2;-100;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:32";="600100721";Nb de séjours terminés dans la période;13;9;21;-38.0952381;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:32";="600100721";Nb de séjours non terminés dans la période;1;10;2;-50;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:32";="600100721";Nb de patients (1);14;11;21;-33.33333333;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:32";="600100721";Nb moyen de modes de prise en charge associés;1;12;1;0;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:32";="600100721";Nb moyen de diagnostics (DCMPP, DCMPA, DA);5.44;13;6.0263157895;-9.729257642;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:32";="600100721";Durée moyenne des sous-séquences;12.64;14;12.973684211;-2.572008114;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:32";="600100721";Durée moyenne des séquences terminées;17.555555556;15;17.5;0.3174603175;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:32";="600100721";Durée moyenne des séjours terminés;23.846153846;16;21.476190476;11.035306157;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:32";="600100721";Nb moyen de séjours par patient (1);1;17;1.0952380952;-8.695652174;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:18";="800000028";Nombre de RAPSS transmis;66;1;9;633.33333333;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:18";="800000028";Nb de journées de prise en charge;989;2;65;1421.5384615;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:18";="800000028";Dont nombre de journées prise en charge en EHPAD;193;3;65;196.92307692;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:18";="800000028";Dont nombre de journées prise en charge en EMS hors EHPAD;0;4;0;;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:18";="800000028";Dont nombre de journées prise en charge en ES;0;5;0;;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:18";="800000028";Dont nombre de journées prise en charge en SSIAD/SPASAD;796;6;0;;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:18";="800000028";Nb de séquences terminées dans la période;32;7;6;433.33333333;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:18";="800000028";Nb de séquences non terminées dans la période;3;8;0;;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:18";="800000028";Nb de séjours terminés dans la période;26;9;6;333.33333333;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:18";="800000028";Nb de séjours non terminés dans la période;3;10;0;;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:18";="800000028";Nb de patients (1);23;11;6;283.33333333;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:18";="800000028";Nb moyen de modes de prise en charge associés;1;12;1;0;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:18";="800000028";Nb moyen de diagnostics (DCMPP, DCMPA, DA);2.9545454545;13;2.6666666667;10.795454545;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:18";="800000028";Durée moyenne des sous-séquences;14.984848485;14;7.2222222222;107.48251748;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:18";="800000028";Durée moyenne des séquences terminées;25.0625;15;10.833333333;131.34615385;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:18";="800000028";Durée moyenne des séjours terminés;30.846153846;16;10.833333333;184.73372781;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:18";="800000028";Nb moyen de séjours par patient (1);1.2608695652;17;1;26.086956522;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";Nombre de RAPSS transmis;149;1;90;65.555555556;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";Nb de journées de prise en charge;1710;2;1429;19.66410077;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";Dont nombre de journées prise en charge en EHPAD;1049;3;371;182.74932615;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";Dont nombre de journées prise en charge en EMS hors EHPAD;0;4;0;;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";Dont nombre de journées prise en charge en ES;0;5;0;;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";Dont nombre de journées prise en charge en SSIAD/SPASAD;661;6;1058;-37.52362949;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";Nb de séquences terminées dans la période;100;7;38;163.15789474;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";Nb de séquences non terminées dans la période;2;8;2;0;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";Nb de séjours terminés dans la période;60;9;30;100;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";Nb de séjours non terminés dans la période;2;10;2;0;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";Nb de patients (1);47;11;29;62.068965517;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";Nb moyen de modes de prise en charge associés;1;12;1;0;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";Nb moyen de diagnostics (DCMPP, DCMPA, DA);2.8187919463;13;2.0444444444;37.875693026;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";Durée moyenne des sous-séquences;11.476510067;14;15.877777778;-27.71967068;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";Durée moyenne des séquences terminées;21.76;15;32.078947368;-32.16735029;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";Durée moyenne des séjours terminés;32.616666667;16;39.1;-16.58141517;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";Nb moyen de séjours par patient (1);1.3404255319;17;1.1724137931;14.330413016;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:16";="800000069";Nombre de RAPSS transmis;56;1;45;24.444444444;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:16";="800000069";Nb de journées de prise en charge;507;2;399;27.067669173;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:16";="800000069";Dont nombre de journées prise en charge en EHPAD;158;3;161;-1.863354037;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:16";="800000069";Dont nombre de journées prise en charge en EMS hors EHPAD;0;4;6;-100;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:16";="800000069";Dont nombre de journées prise en charge en ES;24;5;0;;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:16";="800000069";Dont nombre de journées prise en charge en SSIAD/SPASAD;325;6;232;40.086206897;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:16";="800000069";Nb de séquences terminées dans la période;42;7;35;20;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:16";="800000069";Nb de séquences non terminées dans la période;0;8;1;-100;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:16";="800000069";Nb de séjours terminés dans la période;29;9;25;16;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:16";="800000069";Nb de séjours non terminés dans la période;0;10;1;-100;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:16";="800000069";Nb de patients (1);28;11;26;7.6923076923;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:16";="800000069";Nb moyen de modes de prise en charge associés;1.1071428571;12;1.2444444444;-11.03316327;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:16";="800000069";Nb moyen de diagnostics (DCMPP, DCMPA, DA);6.8392857143;13;8.1777777778;-16.36743012;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:16";="800000069";Durée moyenne des sous-séquences;9.0535714286;14;8.8666666667;2.1079484425;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:16";="800000069";Durée moyenne des séquences terminées;12.428571429;15;16.428571429;-24.34782609;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:16";="800000069";Durée moyenne des séjours terminés;18.620689655;16;23.36;-20.2881436;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:16";="800000069";Nb moyen de séjours par patient (1);1.0357142857;17;1;3.5714285714;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:30";="800000077";Nombre de RAPSS transmis;17;1;19;-10.52631579;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:30";="800000077";Nb de journées de prise en charge;188;2;142;32.394366197;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:30";="800000077";Dont nombre de journées prise en charge en EHPAD;188;3;142;32.394366197;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:30";="800000077";Dont nombre de journées prise en charge en EMS hors EHPAD;0;4;0;;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:30";="800000077";Dont nombre de journées prise en charge en ES;0;5;0;;2022.11;X800000077;26DEC22;10:01:24
