"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;noligne;nb;nb1;evol;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb moyen de modes de prise en charge associés;14;1.0031417483;1.002895194;0.0245842551;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb moyen de diagnostics (DCMPP, DCMPA, DA);15;4.7113287747;4.7753329473;-1.340308064;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Durée moyenne des sous-séquences;16;17.703012382;19.298977031;-8.26968521;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Durée moyenne des séquences terminées;17;44.21215781;52.371483071;-15.57971014;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Durée moyenne des séjours terminés;18;83.585191083;82.242570281;1.6325131828;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb moyen de séjours par patient (1);19;1.6110509209;1.7040358744;-5.456748589;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:45:59";="800000036";Nombre de RAPSS (hors GHT 99);1;457;336;36.011904762;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:59";="800000036";Nb de journées de prise en charge;2;5266;5296;-0.566465257;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:59";="800000036";Dont nombre de journées prise en charge au domicile du patient;3;3406;3719;-8.416240925;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:59";="800000036";Dont nombre de journées prise en charge en ESMS;4;1812;1492;21.44772118;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:59";="800000036";Dont nombre de journées prise en charge en EHPAD;5;1094;371;194.8787062;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:59";="800000036";Dont nombre de journées prise en charge en EMS hors EHPAD;6;0;0;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:59";="800000036";Dont nombre de journées prise en charge en ES;7;0;0;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:59";="800000036";Dont nombre de journées prise en charge en SSIAD/SPASAD;8;718;1121;-35.9500446;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:59";="800000036";Nb de séquences terminées dans la période;9;294;161;82.608695652;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:59";="800000036";Nb de séquences non terminées dans la période;10;12;15;-20;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:59";="800000036";Nb de séjours terminés dans la période;11;161;128;25.78125;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:59";="800000036";Nb de séjours non terminés dans la période;12;12;15;-20;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:59";="800000036";Nb de patients (1);13;124;106;16.981132075;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:59";="800000036";Nb moyen de modes de prise en charge associés;14;1;1;0;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:59";="800000036";Nb moyen de diagnostics (DCMPP, DCMPA, DA);15;2.9868708972;2.1398809524;39.581171272;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:59";="800000036";Durée moyenne des sous-séquences;16;11.52297593;15.761904762;-26.89350618;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:59";="800000036";Durée moyenne des séquences terminées;17;22.527210884;29;-22.31996247;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:59";="800000036";Durée moyenne des séjours terminés;18;30.708074534;36.4765625;-15.8142313;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:59";="800000036";Nb moyen de séjours par patient (1);19;1.3870967742;1.3396226415;3.5438437074;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nombre de RAPSS (hors GHT 99);1;236;246;-4.06504065;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb de journées de prise en charge;2;3942;3647;8.0888401426;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Dont nombre de journées prise en charge au domicile du patient;3;3723;3421;8.8278281204;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Dont nombre de journées prise en charge en ESMS;4;219;172;27.325581395;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Dont nombre de journées prise en charge en EHPAD;5;219;172;27.325581395;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Dont nombre de journées prise en charge en EMS hors EHPAD;6;0;0;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Dont nombre de journées prise en charge en ES;7;0;0;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Dont nombre de journées prise en charge en SSIAD/SPASAD;8;0;0;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb de séquences terminées dans la période;9;107;128;-16.40625;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb de séquences non terminées dans la période;10;11;10;10;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb de séjours terminés dans la période;11;98;108;-9.259259259;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb de séjours non terminés dans la période;12;11;10;10;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb de patients (1);13;88;74;18.918918919;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb moyen de modes de prise en charge associés;14;1;1;0;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb moyen de diagnostics (DCMPP, DCMPA, DA);15;3.1949152542;3.3130081301;-3.56452116;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Durée moyenne des sous-séquences;16;16.703389831;14.825203252;12.668875742;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Durée moyenne des séquences terminées;17;30.906542056;33.5390625;-7.849117559;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Durée moyenne des séjours terminés;18;34.744897959;38.842592593;-10.54948797;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb moyen de séjours par patient (1);19;1.2045454545;1.5945945946;-24.46070878;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nombre de RAPSS (hors GHT 99);1;770;853;-9.730363423;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb de journées de prise en charge;2;10253;11690;-12.29255774;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Dont nombre de journées prise en charge au domicile du patient;3;7776;10478;-25.787364;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Dont nombre de journées prise en charge en ESMS;4;518;449;15.367483296;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Dont nombre de journées prise en charge en EHPAD;5;160;167;-4.191616766;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Dont nombre de journées prise en charge en EMS hors EHPAD;6;0;6;-100;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Dont nombre de journées prise en charge en ES;7;24;11;118.18181818;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Dont nombre de journées prise en charge en SSIAD/SPASAD;8;334;265;26.037735849;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb de séquences terminées dans la période;9;473;490;-3.469387755;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb de séquences non terminées dans la période;10;0;29;-100;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb de séjours terminés dans la période;11;273;296;-7.77027027;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb de séjours non terminés dans la période;12;0;29;-100;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb de patients (1);13;184;220;-16.36363636;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb moyen de modes de prise en charge associés;14;1.212987013;1.3177022274;-7.946804086;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb moyen de diagnostics (DCMPP, DCMPA, DA);15;8.0974025974;7.8804220399;2.7534129066;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Durée moyenne des sous-séquences;16;13.315584416;13.704572098;-2.838378901;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Durée moyenne des séquences terminées;17;27.852008457;26.963265306;3.2961258232;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Durée moyenne des séjours terminés;18;49.230769231;49.942567568;-1.425233766;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb moyen de séjours par patient (1);19;1.4836956522;1.4772727273;0.4347826087;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Nombre de RAPSS (hors GHT 99);1;2076;2054;1.0710808179;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Nb de journées de prise en charge;2;16926;16378;3.3459518867;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Dont nombre de journées prise en charge au domicile du patient;3;13518;13377;1.0540479928;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Dont nombre de journées prise en charge en ESMS;4;3362;2989;12.479089997;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Dont nombre de journées prise en charge en EHPAD;5;2443;1833;33.27877796;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Dont nombre de journées prise en charge en EMS hors EHPAD;6;85;13;553.84615385;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Dont nombre de journées prise en charge en ES;7;108;74;45.945945946;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Dont nombre de journées prise en charge en SSIAD/SPASAD;8;726;1069;-32.08606174;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Nb de séquences terminées dans la période;9;1560;1555;0.3215434084;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Nb de séquences non terminées dans la période;10;47;41;14.634146341;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Nb de séjours terminés dans la période;11;847;852;-0.58685446;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Nb de séjours non terminés dans la période;12;47;41;14.634146341;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Nb de patients (1);13;546;525;4;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Nb moyen de modes de prise en charge associés;14;1.1165703276;1.1231742941;-0.587973438;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Nb moyen de diagnostics (DCMPP, DCMPA, DA);15;5.4320809249;5.4279454722;0.0761881752;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Durée moyenne des sous-séquences;16;8.1531791908;7.9737098345;2.2507635719;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Durée moyenne des séquences terminées;17;10.625;10.469453376;1.4857186732;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Durée moyenne des séjours terminés;18;19.414403778;18.166666667;6.8682776773;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Nb moyen de séjours par patient (1);19;1.6373626374;1.700952381;-3.738478766;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:09";="020000022";Nombre de RAPSS (hors GHT 99);1;837;807;3.717472119;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:09";="020000022";Nb de journées de prise en charge;2;10582;10962;-3.466520708;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:09";="020000022";Dont nombre de journées prise en charge au domicile du patient;3;9094;10287;-11.59716147;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:09";="020000022";Dont nombre de journées prise en charge en ESMS;4;105;185;-43.24324324;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:09";="020000022";Dont nombre de journées prise en charge en EHPAD;5;105;185;-43.24324324;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:09";="020000022";Dont nombre de journées prise en charge en EMS hors EHPAD;6;0;0;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:09";="020000022";Dont nombre de journées prise en charge en ES;7;0;0;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:09";="020000022";Dont nombre de journées prise en charge en SSIAD/SPASAD;8;0;0;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:09";="020000022";Nb de séquences terminées dans la période;9;493;470;4.8936170213;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:09";="020000022";Nb de séquences non terminées dans la période;10;23;28;-17.85714286;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:09";="020000022";Nb de séjours terminés dans la période;11;227;220;3.1818181818;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:09";="020000022";Nb de séjours non terminés dans la période;12;23;28;-17.85714286;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:09";="020000022";Nb de patients (1);13;152;161;-5.590062112;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:09";="020000022";Nb moyen de modes de prise en charge associés;14;1.4982078853;1.5278810409;-1.942111643;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:09";="020000022";Nb moyen de diagnostics (DCMPP, DCMPA, DA);15;12.39307049;10.998760843;12.676970317;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:09";="020000022";Durée moyenne des sous-séquences;16;12.642771804;13.583643123;-6.926502045;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:09";="020000022";Durée moyenne des séquences terminées;17;22.014198783;24.5;-10.14612742;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:09";="020000022";Durée moyenne des séjours terminés;18;54.242290749;41.595454545;30.404370722;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:09";="020000022";Nb moyen de séjours par patient (1);19;1.6447368421;1.5403726708;6.7752546689;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:49:52";="800000085";Nombre de RAPSS (hors GHT 99);1;495;493;0.4056795132;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:52";="800000085";Nb de journées de prise en charge;2;7027;7443;-5.589144162;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:52";="800000085";Dont nombre de journées prise en charge au domicile du patient;3;4800;5073;-5.381431106;2022.12;X800000085;01FEB23;15:49:45
