"champ";"statut";"annee";"periode";"date du resultat";"ipe";sej_fact;taux;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/22 12:54:22";="800000069";2 En attente de décision sur le taux de prise en charge du patient;0;46;18.181818182;2581;27.684221817;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:36";="800000077";1 Séjour facturable à l'AM;80;15;15;319;8.9081262217;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:36";="800000077";1 Séjour facturable à l'AM;100;85;85;3262;91.091873778;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:28";="800000085";1 Séjour facturable à l'AM;80;5;2.8735632184;208;3.1941031941;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:28";="800000085";1 Séjour facturable à l'AM;100;169;97.126436782;6304;96.805896806;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:26";="800000093";0 Séjour non facturable à l'AM;0;6;2.5974025974;29;0.5291005291;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:26";="800000093";1 Séjour facturable à l'AM;80;78;33.766233766;1277;23.298668126;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:26";="800000093";1 Séjour facturable à l'AM;100;144;62.337662338;4143;75.588396278;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:26";="800000093";2 En attente de décision sur le taux de prise en charge du patient;80;3;1.2987012987;32;0.5838350666;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:17";="800000523";1 Séjour facturable à l'AM;100;1384;100;88476;100;2022.11;X800000523;22DEC22;10:53:02
