"champ";"statut";"annee";"periode";"date du resultat";"ipe";sej_fact;mam0;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2023/01/03 14:07:24";="800000028";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;258;100;8167;100;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:18";="800000036";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;163;100;4851;100;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:22";="800000069";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;207;81.818181818;6742;72.315778183;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:22";="800000069";2 En attente de décision sur le taux de prise en charge du patient;montant remboursé par l'AM non numérique ou à 0;46;18.181818182;2581;27.684221817;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:36";="800000077";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;100;100;3581;100;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:28";="800000085";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;173;99.425287356;6511;99.984643735;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:28";="800000085";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;1;0.5747126437;1;0.0153562654;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:25";="800000093";0 Séjour non facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;6;2.5974025974;29;0.5291005291;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:25";="800000093";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;209;90.476190476;5095;92.957489509;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:25";="800000093";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;13;5.6277056277;325;5.9295748951;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:25";="800000093";2 En attente de décision sur le taux de prise en charge du patient;montant remboursé par l'AM numérique;3;1.2987012987;32;0.5838350666;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:17";="800000523";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;1376;99.421965318;88468;99.990958;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:17";="800000523";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;8;0.5780346821;8;0.0090420001;2022.11;X800000523;22DEC22;10:53:02
