"champ";"statut";"annee";"periode";"date du resultat";"ipe";exotm;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/30 11:42:28";="590782652";5 : Assuré ou bénéficiaire exonéré (régime exonérant);6;0.6711409396;180;1.0634526764;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:28";="590782652";6 : Réservé SESAM-VITALE pour les régimes spéciaux SNCF;2;0.2237136465;4;0.0236322817;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";0 : Pas d'exonération;13;5.2;170;1.6065016065;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";2 : Soins relatifs à un séjour > 30 jours;12;4.8;555;5.2447552448;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";3 : Soins particuliers exonérés;1;0.4;313;2.9578529579;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";4 : Soins conformes au protocole ALD;195;78;9372;88.565488565;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";5 : Assuré ou bénéficiaire exonéré (régime exonérant);28;11.2;170;1.6065016065;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";C : Soins exonérés en codage CCAM du fait de la nature de l'acte, ou du dépassement du seuil;1;0.4;2;0.0189000189;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:49:59";="800000085";0 : Pas d'exonération;4;2.0725388601;46;0.6546179024;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:59";="800000085";2 : Soins relatifs à un séjour > 30 jours;5;2.5906735751;508;7.2292585741;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:59";="800000085";4 : Soins conformes au protocole ALD;182;94.300518135;6281;89.383805322;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:59";="800000085";5 : Assuré ou bénéficiaire exonéré (régime exonérant);1;0.518134715;182;2.5900099616;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:59";="800000085";6 : Réservé SESAM-VITALE pour les régimes spéciaux SNCF;1;0.518134715;10;0.1423082396;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:18";="590048476";0 : Pas d'exonération;99;8.1885856079;770;4.1038213505;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:18";="590048476";2 : Soins relatifs à un séjour > 30 jours;18;1.4888337469;1063;5.665405319;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:18";="590048476";4 : Soins conformes au protocole ALD;1092;90.322580645;16930;90.23077333;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:56:45";="800000028";0 : Pas d'exonération;23;8.273381295;669;7.439119315;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:45";="800000028";1 : Soins en rapport avec K>60 ou montant>120¤;1;0.3597122302;16;0.177916157;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:45";="800000028";2 : Soins relatifs à un séjour > 30 jours;1;0.3597122302;135;1.5011675748;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:45";="800000028";3 : Soins particuliers exonérés;4;1.4388489209;143;1.5901256533;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:45";="800000028";4 : Soins conformes au protocole ALD;215;77.338129496;6919;76.937618147;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:45";="800000028";5 : Assuré ou bénéficiaire exonéré (régime exonérant);34;12.230215827;1111;12.354053152;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:04";="590780193";0 : Pas d'exonération;458;17.038690476;9111;39.166881609;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:04";="590780193";1 : Soins en rapport avec K>60 ou montant>120¤;40;1.4880952381;481;2.0677499785;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:04";="590780193";2 : Soins relatifs à un séjour > 30 jours;32;1.1904761905;1047;4.5009027599;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:04";="590780193";3 : Soins particuliers exonérés;135;5.0223214286;2343;10.072220789;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:04";="590780193";4 : Soins conformes au protocole ALD;1969;73.251488095;9612;41.320608718;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:04";="590780193";5 : Assuré ou bénéficiaire exonéré (régime exonérant);15;0.5580357143;153;0.6577250451;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:04";="590780193";X: séjours non facturables, en attente de droits ou pb de codage;39;1.4508928571;515;2.2139110996;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:00:48";="600100721";0 : Pas d'exonération;14;4.5307443366;339;4.4441531201;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:48";="600100721";2 : Soins relatifs à un séjour > 30 jours;2;0.6472491909;159;2.0844257997;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:48";="600100721";3 : Soins particuliers exonérés;1;0.3236245955;15;0.1966439434;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:48";="600100721";4 : Soins conformes au protocole ALD;244;78.964401294;6053;79.352385947;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:48";="600100721";5 : Assuré ou bénéficiaire exonéré (régime exonérant);43;13.915857605;848;11.116937598;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:48";="600100721";C : Soins exonérés en codage CCAM du fait de la nature de l'acte, ou du dépassement du seuil;5;1.6181229773;214;2.805453592;2022.12;X600100721;13FEB23;16:00:35
